,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
1,down,0.016798534,100,100,0.019919579,100,100,0.002866277,0.007208241,0.018127604,-1.774728622
2,down,100,100,100,100,100,100,2.38E-24,6427475.303,1.73E+37,2
3,down,100,100,100,100,100,100,4.45E-21,3.28E-07,24149960.48,2
4,up,100,100,100,100,100,100,4.57E-34,630.241757,8.70E+38,2
5,down,100,100,100,100,100,100,0.002186592,0.005474699,0.013707328,2
6,down,28.74743461,35.25982056,39.94694588,30.18531113,37.10836336,42.14833998,37.76903279,69.46416983,127.7573327,1.458599095
7,down,100,100,100,100,100,100,2.89E-59,7.24E-09,1.81E+42,2
8,up,100,100,100,100,100,100,9.10E-16,0.868435189,8.28726E+14,2
9,down,0.119364566,11.63650094,100,0.209785349,100,100,4.13E-06,0.003572305,3.092250762,-0.923124578
10,down,1.769923287,7.469461929,19.24204626,2.471754301,10.92207957,29.54788546,2.516433206,168.3358276,11260.76018,0.247954443
11,up,100,100,100,100,100,100,4.23E-39,2327.25303,1.28E+45,2
12,down,11.93464764,56.1999347,100,16.82391009,88.74314795,100,3.774570124,148.7530679,5862.250397,1.076809601
13,down,5.388574414,11.17180139,19.22709363,6.350780537,13.75555746,25.56844838,3.499867155,20.4021787,118.9327701,0.731473885
14,down,100,100,100,100,100,100,5.02E-09,8.45E-05,1.42144271,2
15,down,6.792781674,10.2750379,13.25737569,7.49624576,11.40307914,14.79852594,11.33765339,39.25537102,135.9173809,0.832047656
16,down,27.42554939,32.51229339,36.0864207,28.56284419,33.92937201,37.74529005,33.88109185,56.16266633,93.09750416,1.438155336
17,down,7.86087273,11.65386715,14.80999143,8.637964754,12.85674553,16.41178546,13.87223813,45.02860591,146.1606506,0.895470765
18,down,16.31701787,21.81576885,26.099358,17.48592989,23.47220018,28.20810499,22.23320632,52.34581582,123.2428825,1.212640789
19,down,3.317206436,100,100,6.846771842,100,100,0.01080123,226.1748578,4736040.734,0.520772499
20,up,100,100,100,100,100,100,1.00E-106,5.93E-05,3.51E+97,2
21,down,0.211287435,1.374886449,6.177121796,0.312347867,2.446050314,13.23293808,0.020329586,20.51236093,20696.77915,-0.675126329
22,down,1.194839944,1.343759935,1.44533685,1.228752016,1.384238992,1.492053796,1.319207824,1.849481882,2.592907021,0.077309733
23,down,100,100,100,100,100,100,9.95E-23,6.33E-06,4.03369E+11,2
24,down,100,100,100,100,100,100,8.52E-48,7.99E-08,7.50E+32,2
25,down,16.11360516,21.54420787,25.68116424,17.27963305,23.15382061,27.68584905,24.2176503,56.76635867,133.0607816,1.207192718
26,down,100,100,100,100,100,100,4.16E-26,0.000168242,6.80821E+17,2
27,down,53.01573154,69.15079909,83.74760199,56.30999884,74.48783031,92.22037784,46.65648321,91.28605388,178.6063385,1.724404758
28,up,100,100,100,100,100,100,7.43E-177,8.96E+23,1.08E+224,2
29,down,61.4680128,78.792807,94.47821756,65.02399235,84.50902255,100,53.87408705,99.10514788,182.3108451,1.788649173
30,down,3.620501093,6.967804087,10.52738398,4.22709918,8.237487796,12.63050606,5.493740531,36.0818206,236.9783885,0.558768683
31,down,1.177477508,1.351684704,1.476458727,1.216425491,1.400702134,1.536113888,1.237618334,1.816597708,2.6664337,0.07095262
32,down,2.003947559,2.219206702,2.368605212,2.052678524,2.278411838,2.438444642,2.099695579,2.807884251,3.754931927,0.301886352
33,down,15.93303393,20.79717263,24.49969885,16.97676344,22.23839445,26.29209766,22.48815362,50.17731218,111.9595099,1.202298481
34,up,100,100,100,100,100,100,0,8.86E+94,Inf,2
35,down,3.506479225,6.542824906,9.495689109,4.076672632,7.627283807,11.11769412,11.44983334,73.57794158,472.8202869,0.54487127
36,down,2.285842412,12.34551218,42.47897179,3.334476734,19.9296352,79.13826051,0.882173463,77.56650105,6820.157644,0.359046286
