,dose_1000x,dose_100x,dose_10x,dose_1x
016/kerosine,88.16559391,123.5324522,107.314192,106.7426834
118/OLBO,102.9110591,114.745625,105.6603774,104.5077917
"1,2,4-Trimethylbenzene",92.36395553,125.8066898,105.2009844,104.0820981
187(2)/OGO,101.6822703,108.8532821,102.5365053,103.8692512
043/kerosine,100.2486834,119.9143469,93.16488925,111.2124667
017/HFO,92.56875366,97.79221738,100.4232978,5.640440897
Pentadecane,103.1158572,100.7900761,102.0771124,113.0216648
181/VHGO,102.5014628,97.06859632,92.61361772,87.05435196
151/OLBO,102.2966647,99.03271063,92.52173913,108.0197643
135/TDAE,101.9894675,86.21428044,68.08203445,11.81299886
Benz(a)anthracene,104.1398479,105.3385513,93.53240361,63.74762448
136/slackwax,115.7109421,104.4081813,99.13699754,93.54618016
006/HFO,98.30310123,88.69526693,92.7973749,26.28658305
108/OLBO,95.02633119,117.4333604,88.84659557,114.9372862
082/UATO,94.82153306,95.93147752,92.7973749,8.088179399
104/kerosine,109.6693973,100.9968249,94.54306809,92.2690992
180/VHGO,103.7302516,92.72686997,89.21410993,129.836564
164/HFO,111.1029842,97.89559182,95.55373257,1.809198024
Dibenzothiophene,111.7173786,100.6867016,112.2756358,116.1079437
191/BITUMEN,111.2053833,123.9459499,92.33798195,87.79931585
041/CGO,107.1094207,119.3974747,108.3248564,105.9977195
195/UDAE,88.37039204,99.2394595,0.735028712,25.54161916
009/gasoline,115.608543,117.329986,100.3314192,121.5355378
119/OLBO,109.6693973,103.2710625,102.6283839,102.6985937
184/VHGO,114.2773552,115.7793694,96.01312551,0.212846826
060/OLBO,99.01989468,88.07502031,105.3847416,113.0216648
155/HFO,111.8197776,116.9164882,90.22477441,98.65450399
128/kerosine,95.8455237,97.2753452,110.3461854,105.4656024
059/dieselfuel,111.1029842,98.92933619,110.8055783,111.2124667
096A/UDAE,96.45991808,93.86398878,26.18539787,12.87723299
129/HFO,115.7109421,103.7879347,11.48482363,55.44659825
021/HFO,101.2726741,97.17197076,12.58736669,0
080/HFO,110.2837917,118.4671048,83.33388023,29.05359179
"1,2,4,5-Tetramethylbenzene",100.1462844,96.4483497,90.40853158,101.9536298
187(1)/OGO,105.1638385,96.75847301,102.168991,29.26643862
079/HFO,100.7606788,94.07073765,90.31665299,51.93462562
083/UATO,114.4821533,110.3005243,106.6710418,46.08133789
067/P&Hwax,96.86951434,114.745625,94.17555373,123.2383124
063/P&Hwax,108.1334114,107.8195378,94.72682527,100.8893957
090/FO,109.5669982,103.0643137,96.01312551,98.12238693
081/OLBO,92.97834991,100.5833272,90.68416735,90.88559483
154/OLBO,96.66471621,92.41674666,93.16488925,110.4675029
127/slackwax,108.2358104,86.83452706,90.04101723,88.65070315
Phenanthrene,94.82153306,102.9609392,89.67350287,109.5096921
1-Methylnaphthalene,97.17671153,108.8532821,95.64561116,93.01406309
188/SRGO,97.48390872,92.31337222,88.11156686,11.06803497
