"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",2.02370928338131,100,100,19.908657809768,100,100,1.24375854274037e-06,0.00157453367751151,1.99327780788995
"2","up",100,100,100,100,100,100,0.000122679868131776,0.0023834038690933,0.046304369981121
"3","up",1.81110965605717,100,100,100,100,100,6.6155207331757e-06,0.00107481408035923,0.174623488298542
"4","up",100,100,100,100,100,100,6.37565783064074e-17,0.133789443288154,280749306359111
"5","up",100,100,100,100,100,100,5.89536116370618e-05,0.00166059642089444,0.0467754289603834
"6","down",100,100,100,100,100,100,1.48499534973922e-33,6.36619585499205e-05,2.72919707602015e+24
"7","up",58.066552273438,100,100,100,100,100,9.77063087300361e-09,112.281203919427,1290302429542.14
"8","down",11.8504490858184,100,100,39.4300993841974,100,100,5.40616182637443e-08,31.3799405608783,18214413501.2813
"9","up",100,100,100,100,100,100,2.30919437065981e-62,729.997145563017,2.30771319773274e+67
"10","down",0.385126141455747,100,100,0.56720764860316,100,100,0.0289885695701896,2.66995363687314,245.912527894541
"11","down",100,100,100,100,100,100,4.53823600168232e-71,2.30801338761425e-07,1.17378774383524e+57
"12","down",100,100,100,100,100,100,1.35482970015201e-141,1.08603188805502e-11,8.70563482436183e+118
"13","down",1.87508156674842,100,100,100,100,100,8.22704042750581e-07,0.00102749789205556,1.28327060925685
"14","up",100,100,100,100,100,100,1.70277234083513e-13,0.0759950568856528,33916739969.0151
"15","down",100,100,100,100,100,100,1.93597077689189e-11,0.00245120847297336,310357.11125881
"16","down",100,100,100,100,100,100,5.7447515962468e-22,0.000532101403972192,492853171047739
"17","up",52.4909654812739,67.6787602413821,83.6534364682676,55.4847059011782,73.1522315103448,95.1479701699285,42.2314244407435,74.8681390703932,132.726715285881
"18","down",100,100,100,100,100,100,3.83995121174523e-51,5.72421477183832e-06,8.53308621575942e+39
"19","up",1.11247533449191,100,100,2.71586958427373,100,100,5.50744950324494e-08,0.116960340790512,248385.77838567
"20","down",100,100,100,100,100,100,5.35974156728852e-61,1.41720887863546e-09,3.74734673391953e+42
"21","up",0.0320590000429451,100,100,0.0587063611322428,100,100,0.00148817994899516,0.00641493721686803,0.0276521797811781
"22","down",100,100,100,100,100,100,0.000629019585511874,0.00325293392168852,0.0168223364464255
"23","up",0.0178499060963041,100,100,0.021100319593882,100,100,0.00289734786555219,0.00826976083426784,0.0236039810990926
"24","up",100,100,100,100,100,100,2.41876035286444e-20,0.231907538628657,2223498760805790464
"25","up",0.0337474643425389,100,100,100,100,100,0.00251968314707727,0.00655420439515091,0.0170488084199176
"26","up",43.2174999660377,100,100,55.2214686224498,100,100,12.4069549145093,122.558465375362,1210.65785590935
"27","up",100,100,100,100,100,100,3.88443628259702e-66,496.315925897203,6.34144777719243e+70
"28","up",100,100,100,100,100,100,1.50394996194004e-16,0.143034294280612,136033843266713
"29","up",5.2572583321197,100,100,18.932263461029,100,100,1.82810812446772e-09,0.0341678418750234,638606.329008316
"30","down",100,100,100,100,100,100,1.02582693108717e-09,0.00326255218051944,10376.2597842225
"31","up",0.0160846596214852,100,100,0.0240679423141993,100,100,0.0048857683339006,0.00824250088540793,0.0139054527769045
