"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",0.306148123932793,2,2,1.2990419820033,2,2,-5.90526392328962,-2.80284804585564,0.299567831578348
"2","up",2,2,2,2,2,2,-3.91122669951114,-2.62280235997955,-1.33437802044795
"3","up",0.257944746050561,2,2,2,2,2,-5.17943596513576,-2.96866665282478,-0.7578973405138
"4","up",2,2,2,2,2,2,-16.1954749987406,-0.873578153403598,14.4483186919334
"5","up",2,2,2,2,2,2,-4.22948958385133,-2.77973590245243,-1.32998222105354
"6","down",1.44126214286598,1.54157948864956,1.60537798608113,1.46495316561598,1.56737610049792,1.63380547350597,1.48774780477999,1.77050481035367,2.05326181592735
"7","up",1.76392604037683,2,2,2,2,2,-8.01007739372046,2.05030706064891,12.1106915150183
"8","down",1.07373480872564,2,2,1.5958278717208,2,2,-7.26711095840615,1.49665211662163,10.2604151916494
"9","up",2,2,2,2,2,2,-61.6365395098926,2.86332116194422,67.3631818337811
"10","down",-0.0521456257564353,0.414671328104043,0.710505927887591,0.0574682046461507,0.534783773851594,0.840413198427959,0.337238618964095,1.75526594285028,3.17329326673646
"11","down",1.13053202500272,1.43214555809828,1.6550575388208,1.19850026776077,1.51788856659703,1.77054759445839,0.95717422851348,1.70105935035365,2.44494447219383
"12","down",2,2,2,2,2,2,-140.868115291456,-10.9641574228107,118.939800445834
"13","down",1.01105665868036,1.21217634710064,1.34345686147548,1.05818556371749,1.2648130190677,1.40342339493079,1.04008410761152,1.58855478234235,2.13702545707318
"14","up",2,2,2,2,2,2,-12.7688434129465,-1.11921465557581,10.5304141017949
"15","down",1.02197647167285,1.2010213495906,1.31510407726674,1.06423464341643,1.24712269454204,1.36602532350136,1.10015574857647,1.60367991200339,2.10720407543031
"16","down",2,2,2,2,2,2,-21.2407287455156,-3.2740055951693,14.692717555177
"17","up",1.72008456094367,1.83045239457503,1.92248378640482,1.74417328838254,1.86422757882561,1.9783995277423,1.62563573016565,1.87429703839712,2.1229583466286
"18","down",1.11202012733016,1.25390139461788,1.344881811982,1.14537010316665,1.29062749821637,1.38558375140461,1.17062532168746,1.57465130971325,1.97867729773903
"19","up",0.0462903906976362,2,2,0.433908911341105,2,2,-7.25904947612229,-0.931961374968781,5.39512672618473
"20","down",2,2,2,2,2,2,-60.2708561503457,-8.84856613553001,42.5737238792857
"21","up",-1.49405002791462,2,2,-1.23131483819097,2,2,-2.82734455122934,-2.19280758971792,-1.55827062820651
"22","down",0.290529555964917,0.334441603807723,0.363144494271175,0.30081509921097,0.345944938516332,0.376272307317655,0.29628037127664,0.415864505383654,0.535448639490669
"23","up",-1.74836406425567,2,2,-1.67571096665452,2,2,-2.5379993587762,-2.08250705028538,-1.62701474179456
"24","up",2,2,2,2,2,2,-19.6164071587503,-0.634685133502537,18.3470368917452
"25","down",1.14076246335251,1.28390179543637,1.37585334088084,1.17431188685779,1.32103695692145,1.4168963717572,1.2071715111167,1.62323975339667,2.03930799567664
"26","up",1.635659640327,2,2,1.7421079525775,2,2,1.09366520405305,2.08834331427299,3.08302142449293
"27","up",2,2,2,2,2,2,-65.410671998001,2.69575821116006,70.8021884203211
"28","up",2,2,2,2,2,2,-15.8227666129564,-0.844559822456635,14.1336469680431
"29","up",0.720759317984295,2,2,1.27720253947201,2,2,-8.73799812125482,-1.4663824514432,5.80523321836842
"30","down",0.0638081446864113,0.251676231763397,0.374755262004123,0.107733639593567,0.300990984215827,0.431062014721934,0.0877364800945615,0.603034400106838,1.11833232011912
"31","down",0.315986281287897,0.363096935680777,0.395711622903167,0.32678894473401,0.375944060977541,0.411392619615788,0.303003614307255,0.427772758616378,0.552541902925502
"32","down",0.568198980641891,0.645498130700481,0.695305979827804,0.586362567602945,0.665562790776599,0.717733226308124,0.592587658074307,0.808991254167354,1.0253948502604
"33","down",0.902401046997039,0.993991952546947,1.05674607987082,0.923445292617575,1.01881079795558,1.08653861212207,0.883938647272954,1.13133705387233,1.3787354604717
"34","down",2,2,2,2,2,2,-26.2147171753533,-3.70070431569882,18.8133085439557
"35","down",1.56572122485503,1.65807355556021,1.71874795032884,1.58727635599172,1.68237177759502,1.74653731340303,1.57630441732354,1.8308161063954,2.08532779546726
"36","down",0.870508084902633,1.19443932666073,1.41720090396765,0.945138873026789,1.2822738282878,1.52411807455257,0.790429682909849,1.63542607533517,2.48042246776049
"37","down",1.67415266238019,1.74936469643989,1.80207562414582,1.69131274136858,1.77005453344471,1.82767583237398,1.64838051785675,1.84735380279406,2.04632708773138
"38","up",1.79237426025468,1.91019979201803,2,1.81810160708536,1.9464323515324,2,1.69237466829097,1.95154318285679,2.21071169742261
"39","up",2,2,2,2,2,2,-58.4540647084874,2.35359360152894,63.1612519115453
"40","down",2,2,2,2,2,2,-159.259343029928,-12.4939008873402,134.271541255247
"41","down",1.43809056889553,2,2,2,2,2,-11.1509529305292,-2.64066341565804,5.86962609921308
"42","up",2,2,2,2,2,2,-167.165917300037,12.0026251911124,191.171167682262
"43","down",0.514143678925648,2,2,0.991104557667793,2,2,-7.90290754323839,-0.755983779898867,6.39093998344066
"44","up",2,2,2,2,2,2,-74.3619712828567,4.04928839085798,82.4605480645727
"45","down",2,2,2,2,2,2,-28.6210244941425,-3.8201558140605,20.9807128660215
"46","down",0.871117118722155,1.08056133232442,1.21448241587042,0.920497824754512,1.13461876015146,1.27445505245808,0.952363758833888,1.53872005840362,2.12507635797335
"47","down",2,2,2,2,2,2,-2.65222182488998,-2.24329648148557,-1.83437113808116
"48","up",1.58481043205631,2,2,1.80403641970921,2,2,0.418383813709569,2.4942958140288,4.57020781434803
"49","down",1.81900370426646,2,2,2,2,2,-12.1829579955676,-2.71872494032527,6.74550811491705
"50","down",0.14244506306608,0.689254734287945,1.06872582985726,0.267387609350136,0.838805754222318,1.25065375005523,-0.00914537388136253,1.46931568014327,2.9477767341679
"51","down",-0.144865477460237,-0.000979660993364231,0.0917764037734206,-0.111067233135033,0.0363841906309605,0.133545629603314,-0.0995433355333102,0.303819915572626,0.707183166678563
"52","down",1.17695617692517,1.37087038087833,1.50304873743353,1.22174084763123,1.42314907558202,1.56589382306338,1.13999279058732,1.65113441021188,2.16227602983643
"53","up",2,2,2,2,2,2,-43.7749687186133,1.20514628651402,46.1852612916414
"54","down",1.01150334518125,1.22654057869051,1.37157838657717,1.06128966500521,1.28412679997957,1.43972234208709,0.987540482293943,1.56381619630628,2.14009191031862
"55","up",2,2,2,2,2,2,-31.0673237731323,0.277394073543759,31.6221119202198
"56","down",1.45433584283776,2,2,1.58917054428394,2,2,0.803116573103099,2.11107287208012,3.41902917105714
"57","down",0.366500519389766,0.416298559553547,0.449121658341225,0.378124805562135,0.42942273119276,0.464231451445906,0.369759983903394,0.505160845646949,0.640561707390504
"58","down",2,2,2,2,2,2,-28.8336505294248,-3.76880107615008,21.2960483771246
"59","down",0.695010652030809,0.942112957883569,1.10185018727879,0.752989916840667,1.00640822545518,1.17393768014919,0.765929725741363,1.4579578974884,2.14998606923544
"60","up",2,2,2,2,2,2,-32.1718216850057,0.377700204052778,32.9272220931112
"61","down",0.483077523295319,0.847548505505505,1.08177268460582,0.568677845598159,0.942038857898543,1.18674196323055,0.624189911005913,1.66075563908415,2.69732136716238
"62","down",0.682977139135976,2,2,1.14203876598248,2,2,-6.92966350309061,1.04394452742982,9.01755255795025
"63","up",1.49550433046713,2,2,1.63051270732197,2,2,0.862111797288358,2.16761433446542,3.47311687164249
"64","down",2,2,2,2,2,2,-15.9262095733536,-2.97132756842328,9.98355443650707
"65","down",2,2,2,2,2,2,-92.8138522967962,-8.43782200825364,75.9382082802889
"66","up",2,2,2,2,2,2,-81.1126411059476,4.61192625218197,90.3364936103116
"67","up",1.67484949161239,2,2,1.77029094005859,2,2,1.1817190337688,2.06061420180864,2.93950936984847
"68","down",0.599303710373372,0.909503000067328,1.10255475232421,0.67319450646542,0.988028305282731,1.18716629508462,0.830489992720396,1.71278722781983,2.59508446291926
"69","up",2,2,2,2,2,2,-664.636995733945,52.0943858690125,768.82576747197
"70","down",0.796817722855578,2,2,2,2,2,-6.01226328026111,-3.11907905816229,-0.22589483606348
"71","down",2,2,2,2,2,2,-218.323725347104,-16.6921120842568,184.93950117859
"72","down",2,2,2,2,2,2,-15.4896759581642,-2.93357025953011,9.62253543910399
"73","down",1.50300581826366,1.91914165160681,2,1.5922043810272,2,2,1.10985048882774,1.99418144338482,2.8785123979419
"74","down",1.15355813210686,1.30445372011703,1.40128402870481,1.18911524593549,1.34348533623835,1.44483216390014,1.20291165270656,1.62137954977669,2.03984744684682
"75","up",1.34834418040123,2,2,1.65701728971522,2,2,-0.501420682832379,2.69409066799477,5.88960201882191
"76","down",2,2,2,2,2,2,-14.1228420692345,-2.84688785197136,8.4290663652918
"77","up",2,2,2,2,2,2,-537.207584187192,39.7934015458476,616.794387278887
"78","down",0.601575143328206,0.86056189785336,1.02498784111836,0.662682988680449,0.927124338452439,1.09796389406183,0.741176524746251,1.48292380606484,2.22467108738343
"79","up",2,2,2,2,2,2,-61.7812829275155,2.96631046658321,67.713903860682
"80","down",0.37251680086505,0.726095911149975,0.961249088809495,0.454675710710661,0.819923743931752,1.07008857873879,0.376193851553603,1.34352557118674,2.31085729081988
"81","down",0.277859311745068,1.31901233914043,2,0.499323596325096,1.64265147799107,2,-0.84525192238123,1.87097881232533,4.58720954703188
"82","down",0.867249820993195,1.10934394458134,1.26895217978836,0.923760263928137,1.17315615534337,1.34244983379216,0.882380522305192,1.54016909190886,2.19795766151252
"83","down",1.4735179065689,2,2,2,2,2,-11.2253840213813,-2.64062974910076,5.94412452317975
"84","down",0.792292699942511,1.02204514233727,1.16998872763136,0.846302326490051,1.08164965486126,1.23658809789797,0.865375262536838,1.50776835722976,2.15016145192268
"85","down",0.975996361606581,1.16408245176272,1.28460773292111,1.02028989230179,1.21270985192729,1.33864454781791,1.04619242351852,1.57382064409579,2.10144886467307
"86","down",1.67491845856936,1.79320918282188,1.87792415727198,1.70188070743257,1.82612699449539,1.92048369711641,1.62158407650532,1.91628434471485,2.21098461292439
"87","down",2,2,2,2,2,2,-30.7694217914379,-4.05621638054847,22.656989030341
"88","down",2,2,2,2,2,2,-4.61963409563008,-3.00882475551278,-1.39801541539547
"89","down",2,2,2,2,2,2,-313.27042974272,-23.2010346061762,266.868360530368
"90","down",-0.196839232842315,2,2,0.821765190802218,2,2,-5.00486957211034,-2.77983235252863,-0.554795132946912
"91","down",1.2769267691355,2,2,1.46650590566223,2,2,0.349204515804475,2.22213047900433,4.09505644220418
"92","down",1.0367576819652,1.19635758003153,1.29887621506068,1.07427792005186,1.23770629031892,1.34486595280054,1.09565987904011,1.5462340586371,1.99680823823409
"93","down",2,2,2,2,2,2,-6.10042716865403,3.54042801958796,13.1812832078299
"94","down",2,2,2,2,2,2,-3.71313146338683,-2.63784852525625,-1.56256558712566
"95","down",0.649011319078284,0.878904421991463,1.02529841358462,0.703187325135514,0.93811921774019,1.09041646474442,0.764646045475073,1.42252953500789,2.08041302454071
"96","down",0.92030648466464,1.09757040688121,1.21081360229311,0.96206663357234,1.14331597465978,1.26139199141795,0.996996416190148,1.49892120820299,2.00084600021583
"97","down",0.783383434871982,1.02488265425733,1.17533345260798,0.840871927146381,1.08606910791495,1.2412981901445,0.962504323596324,1.6507577264718,2.33901112934727
"98","down",1.07877221325423,1.24007489096186,1.34304130231461,1.11678873672689,1.28167571386002,1.38901191215145,1.14935009483277,1.60566756708327,2.06198503933377
"99","down",0.797068905286876,1.01303698347434,1.20764686251212,0.84340398382992,1.08205924374665,1.34258905903913,0.593684101076832,1.05447513641484,1.51526617175285
"100","down",1.11222482678006,2,2,1.44830949093284,2,2,-1.08443501029662,2.97563253721419,7.03570008472501
"101","down",2,2,2,2,2,2,-24.468751061446,-3.56109504964042,17.3465609621652
"102","up",2,2,2,2,2,2,-15.7709821871959,-0.832281072393997,14.106420042408
"103","up",0.914698124074208,1.06215682692705,2,0.937991003563443,1.25971851686422,2,0.771735897457509,0.939199390480571,1.10666288350363
"104","down",-0.438976527198556,0.99677123219706,2,-0.174538553495584,1.54070204766479,2,-5.29569514874935,0.25664549801381,5.80898614477697
"105","up",1.4328780755345,2,2,1.55722845160765,2,2,0.898738572677866,2.13892890281316,3.37911923294846
"106","down",2,2,2,2,2,2,-2.47186408838402,-2.1674649327273,-1.86306577707059
"107","down",-0.0457059422210237,0.0347799792368592,0.0876936849142786,-0.0269087621223885,0.0559577654558611,0.111979454828942,-0.0381294205927718,0.181886786129328,0.401902992851428
"108","down",2,2,2,2,2,2,-52.4969674210632,-5.69575638183243,41.1054546573983
"109","up",2,2,2,2,2,2,-30.9624457693701,0.463962785635765,31.8903713406416
"110","down",2,2,2,2,2,2,-187.730072670485,-15.705785878414,156.318500913657
"111","up",2,2,2,2,2,2,-2.94194460481703,-2.36480036650268,-1.78765612818834
"112","down",0.422825313940928,1.68604343157387,2,0.680993478579538,2,2,-1.25549722173945,1.78504594886508,4.8255891194696
