"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",2.02370928338131,100,100,19.908657809768,100,100,1.24375854274037e-06,0.00157453367751151,1.99327780788995
"2","up",100,100,100,100,100,100,0.000122679868131776,0.0023834038690933,0.046304369981121
"3","up",1.81110965605717,100,100,100,100,100,6.6155207331757e-06,0.00107481408035923,0.174623488298542
"4","up",100,100,100,100,100,100,6.37565783064074e-17,0.133789443288154,280749306359111
"5","up",100,100,100,100,100,100,5.89536116370618e-05,0.00166059642089444,0.0467754289603834
"6","down",27.6224466127934,34.8000196080456,40.3067689702779,29.1711241518477,36.9297272824544,43.0333814860438,30.7431104093591,58.9528506793662,113.047722138278
"7","up",58.066552273438,100,100,100,100,100,9.77063087300361e-09,112.281203919427,1290302429542.14
"8","down",11.8504490858184,100,100,39.4300993841974,100,100,5.40616182637443e-08,31.3799405608783,18214413501.2813
"9","up",100,100,100,100,100,100,2.30919437065981e-62,729.997145563017,2.30771319773274e+67
"10","down",0.886858584571227,2.59819251980574,5.13459185898631,1.14147973210734,3.42597172103514,6.92489509107683,2.17389527683266,56.9201378049401,1490.36714061676
"11","down",13.5061641903469,27.0486477443115,45.1915813845219,15.7942958152285,32.9525150154014,58.9586586490368,9.06096031955124,50.2411243969709,278.576496491811
"12","down",100,100,100,100,100,100,1.35482970015201e-141,1.08603188805502e-11,8.70563482436183e+118
"13","down",10.2578574300001,16.2995774948252,22.0524507824745,11.4336676389817,18.3997964698044,25.3176501864485,10.9669056608266,38.7752656935418,137.096212560238
"14","up",100,100,100,100,100,100,1.70277234083513e-13,0.0759950568856528,33916739969.0151
"15","down",10.5190488430642,15.8862484228255,20.6587517679179,11.5940359699882,17.665368226805,23.2287223796594,12.5937697406798,40.14947881303,127.998262803789
"16","down",100,100,100,100,100,100,5.7447515962468e-22,0.000532101403972192,492853171047739
"17","up",52.4909654812739,67.6787602413821,83.6534364682676,55.4847059011782,73.1522315103448,95.1479701699285,42.2314244407435,74.8681390703932,132.726715285881
"18","down",12.9425582220428,17.9432618369511,22.1249252444987,13.9755884503269,19.5266390417199,24.2987398524754,14.8123962581098,37.553576965535,95.2088452355734
"19","up",1.11247533449191,100,100,2.71586958427373,100,100,5.50744950324494e-08,0.116960340790512,248385.77838567
"20","down",100,100,100,100,100,100,5.35974156728852e-61,1.41720887863546e-09,3.74734673391953e+42
"21","up",0.0320590000429451,100,100,0.0587063611322428,100,100,0.00148817994899516,0.00641493721686803,0.0276521797811781
"22","down",1.95222358834137,2.15993958501551,2.30751479508395,1.99901061006537,2.21791520636359,2.37833105840012,1.97824634170709,2.60534058849169,3.4312205911549
"23","up",0.0178499060963041,100,100,0.021100319593882,100,100,0.00289734786555219,0.00826976083426784,0.0236039810990926
"24","up",100,100,100,100,100,100,2.41876035286444e-20,0.231907538628657,2223498760805790464
"25","down",13.8280984654354,19.2265692017777,23.7603777481275,14.9386683899138,20.9429066498261,26.115381334986,16.1128183526165,41.9990777003383,109.47324602543
"26","up",43.2174999660377,100,100,55.2214686224498,100,100,12.4069549145093,122.558465375362,1210.65785590935
"27","up",100,100,100,100,100,100,3.88443628259702e-66,496.315925897203,6.34144777719243e+70
