1% DMSO,dose_0.01,,,
DMSO 1,88.37039204,,,
DMSO 2,118.5781159,,,
DMSO 3,93.79754242,,,
DMSO 4,97.58630778,,,
DMSO 5,109.9765945,,,
DMSO 6,103.3206554,,,
DMSO 7,100.1462844,,,
DMSO 8,105.8806319,,,
DMSO 9,102.3990638,,,
DMSO 10,93.89994149,,,
DMSO 11,91.13516676,,,
DMSO 12,104.4470451,,,
DMSO 13,91.64716208,,,
DMSO 14,101.6822703,,,
DMSO 15,100.1462844,,,
DMSO 16,104.8566413,,,
DMSO 17,100.8630778,,,
DMSO 18,111.2053833,,,
DMSO 19,105.1638385,,,
DMSO 20,97.79110591,,,
DMSO 21,96.25511995,,,
DMSO 22,94.41193681,,,
DMSO 23,105.6758338,,,
DMSO 24,102.9110591,,,
DMSO 25,90.62317145,,,
DMSO 26,97.38150965,,,
DMSO 27,92.97834991,,,
DMSO 28,96.86951434,,,
DMSO 29,106.1655468,,,
DMSO 30,118.1569815,,,
DMSO 31,105.752049,,,
DMSO 32,91.38300229,,,
DMSO 33,90.55600679,,,
DMSO 34,109.8870265,,,
DMSO 35,101.720446,,,
DMSO 36,98.10234069,,,
DMSO 37,106.5790445,,,
DMSO 38,97.06859632,,,
DMSO 39,100.6867016,,,
DMSO 40,92.20999778,,,
DMSO 41,100.9968249,,,
DMSO 42,102.2373182,,,
DMSO 43,90.45263236,,,
DMSO 44,100.2732039,,,
DMSO 45,111.8511408,,,
DMSO 46,96.34497526,,,
DMSO 47,98.20571513,,,
DMSO 48,93.76061434,,,
DMSO 49,100.6867016,,,
DMSO 50,101.5136971,,,
DMSO 51,111.1275198,,,
DMSO 52,87.55814812,,,
DMSO 53,100.9968249,,,
DMSO 54,92.62349553,,,
DMSO 55,97.2753452,,,
DMSO 56,95.82810308,,,
DMSO 57,92.42986054,,,
DMSO 58,97.48318294,,,
DMSO 59,107.0385562,,,
DMSO 60,87.28465956,,,
DMSO 61,115.9507793,,,
DMSO 62,107.1304348,,,
DMSO 63,112.3675144,,,
DMSO 64,90.59228876,,,
DMSO 65,101.0664479,,,
DMSO 66,114.5726005,,,
DMSO 67,90.13289582,,,
DMSO 68,97.29942576,,,
DMSO 69,101.8933552,,,
DMSO 70,108.1410993,,,
DMSO 71,93.34864643,,,
DMSO 72,103.0877769,,,
DMSO 73,104.4659557,,,
DMSO 74,117.6045939,,,
DMSO 75,100.4232978,,,
DMSO 76,93.6242822,,,
DMSO 77,99.87202625,,,
DMSO 78,98.40196883,,,
DMSO 79,99.59639048,,,
DMSO 80,91.05168171,,,
DMSO 81,96.28876128,,,
DMSO 82,92.70549631,,,
DMSO 83,86.9171452,,,
DMSO 84,99.22887613,,,
DMSO 85,93.12048651,,,
DMSO 86,96.10034208,,,
DMSO 87,102.9114405,,,
DMSO 88,99.61231471,,,
DMSO 89,93.33333333,,,
DMSO 90,94.50399088,,,
DMSO 91,106.63626,,,
DMSO 92,112.063854,,,
DMSO 93,102.9114405,,,
DMSO 94,100.6765488,,,
DMSO 95,101.3150893,,,
DMSO 96,100.6765488,,,
DMSO 97,105.0399088,,,
DMSO 98,103.8692512,,,
DMSO 99,98.12238693,,,
DMSO 100,110.4675029,,,
DMSO 101,114.4051691,,,
DMSO 102,103.4435576,,,
DMSO 103,113.9794755,,,
DMSO 104,82.69099202,,,
DMSO 105,120.5777271,,,
DMSO 106,88.65070315,,,
DMSO 107,89.71493729,,,
DMSO 108,87.26719878,,,
DMSO 109,107.2748005,,,
DMSO 110,87.48004561,,,
DMSO 111,89.60851387,,, 
DMSO 112,93.54618016,,,
