,dose_1000x,dose_100x,dose_10x,dose_1x
016/kerosine,85.58973371,120.9825102,118.7275688,100.2958735
118/OLBO,100.1978326,110.4921305,116.1785045,99.02134141
"1,2,4-Trimethylbenzene",89.60941193,123.3354926,115.3941771,98.23701395
187(2)/OGO,99.9037098,106.2763704,113.7274812,99.9037098
043/kerosine,97.74680929,116.6687092,101.6684466,105.0018383
017/HFO,90.49178032,97.55072743,124.9041475,41.27523241
Pentadecane,100.2958735,97.06052277,112.2568672,107.5509025
181/VHGO,99.80566887,93.72713108,101.3743238,83.43283321
151/OLBO,99.609587,97.94289116,101.8645284,101.7664875
135/TDAE,100.3939145,85.39365185,89.90353473,110.2960486
Benz(a)anthracene,102.6488559,101.7664875,106.0802885,83.53087414
136/slackwax,113.5313994,101.3743238,110.3940895,88.13879795
006/HFO,95.68794972,85.98189744,105.8842067,69.02081619
108/OLBO,93.53104921,114.5118087,97.84485022,109.2175983
082/UATO,92.45259896,92.94280362,108.4332709,98.23701395
104/kerosine,107.7469844,98.33505489,108.0411072,88.43292074
180/VHGO,100.8841191,90.49178032,99.80566887,130.5905215
164/HFO,109.4136802,95.98207252,115.9824227,65.29526077
Dibenzothiophene,109.1195574,97.25660463,124.5119838,109.6097621
191/BITUMEN,109.5117211,123.0413698,105.9822476,87.94271608
041/CGO,105.7861657,115.8843817,118.7275688,100.6880373
195/UDAE,86.7662249,97.4526865,45.29491063,42.25564173
009/gasoline,113.8255222,115.3941771,111.0803761,116.4726273
119/OLBO,107.5509025,99.9037098,112.2568672,97.74680929
184/VHGO,112.4529491,113.0411947,109.1195574,0.294122796
060/OLBO,97.1585637,84.90344719,116.6687092,110.8842942
155/HFO,112.55099,116.1785045,102.7468968,99.9037098
128/kerosine,93.62909015,92.74672176,123.2374516,99.70762793
059/dieselfuel,109.6097621,96.66835904,122.649206,106.864616
096A/UDAE,94.4134176,92.45259896,48.04005672,92.64868082
129/HFO,114.6098496,101.9625694,35.98102208,81.66809643
021/HFO,99.02134141,94.02125387,38.33400445,146.2770707
080/HFO,107.3548206,116.0804636,102.1586512,39.60853656
"1,2,4,5-Tetramethylbenzene",97.25660463,93.13888548,99.41350514,98.72721861
187(1)/OGO,103.923388,93.04084455,114.8059315,45.19686969
079/HFO,98.33505489,91.08002591,102.3547331,70.98163483
083/UATO,113.1392356,107.6489434,118.2373641,92.64868082
067/P&Hwax,93.92321294,110.3940895,103.5312243,118.335405
063/P&Hwax,106.766575,105.0998792,103.923388,95.29578599
090/FO,106.3744113,99.80566887,105.2959611,92.06043523
081/OLBO,91.08002591,97.55072743,99.609587,85.78581558
154/OLBO,94.21733574,89.511371,101.3743238,105.5900839
127/slackwax,105.394002,83.53087414,97.84485022,82.45242389
Phenanthrene,92.06043523,99.11938234,97.74680929,105.2959611
1-Methylnaphthalene,95.09970413,106.0802885,104.3155517,87.64859329
188/SRGO,94.7075404,89.511371,98.43309582,24.41219209
Pyrene,81.96221923,86.37406117,103.6292652,101.080201
Fluoranthene,92.84476269,95.58990879,120.8844693,103.4331834
074/OLBO,90.19765752,97.06052277,100.7860782,86.4721021
091/HFO,95.98207252,92.35455803,100.8841191,48.62830232
008/HFO,100.0997917,87.64859329,48.92242511,0
166/HFO,105.2959611,88.43292074,111.6686216,50.19695723
103/gasoline,109.6097621,101.4723647,107.5509025,94.60949947
071/HFO,98.53113675,101.3743238,107.6489434,101.2762828
093/petrolatum,110.6882123,88.53096168,119.806019,93.92321294
190/BITUMENS,110.9823351,105.0998792,101.7664875,91.86435337
089/UDAE,89.02116634,100.5899963,30.00052522,147.1594391
085B/OLBO,109.9038849,103.5312243,93.72713108,96.27619531
050/HFO,100.1978326,94.11929481,91.9623943,176.7678006
115/OLBO,106.766575,97.35464556,108.0411072,98.53113675
169/SRGO,94.90362226,89.90353473,87.74663422,47.54985206
179/VHGO,100.0017507,89.02116634,103.6292652,87.15838863
Naphthalene,94.80558133,94.4134176,115.6882999,108.4332709
145/HRBO,96.47227718,91.08002591,104.2175108,90.49178032
