"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",1.93679656019611,2,2,2,2,2,-6.92029393185309,-3.35473963389916,0.210814664054765
"2","up",2,2,2,2,2,2,-13.7620953833961,-0.0425918775815872,13.676911628233
"3","up",2,2,2,2,2,2,-5.82455276987744,-3.29970264529045,-0.774852520703473
"4","up",2,2,2,2,2,2,-16.6182775664153,0.44618960473314,17.5106567758815
"5","up",2,2,2,2,2,2,-15.9113414204809,0.325527126034601,16.5623956725501
"6","down",1.70792817478981,1.79004845667817,1.84913215367677,1.72657233643204,1.81299793381886,1.87881087436679,1.66908395034381,1.8766706305977,2.08425731085159
"7","up",2,2,2,2,2,2,-14.6091467496196,0.139894164757876,14.8889350791354
"8","down",2,2,2,2,2,2,-14.9618133994838,-3.62284024659493,7.71613290629397
"9","up",2,2,2,2,2,2,-94.4100227447422,13.6097722714316,121.629567287605
"10","down",2,2,2,2,2,2,-58.1095029031455,-9.16791473280724,39.773673437531
"11","down",2,2,2,2,2,2,-26.5238984607884,-5.04729049612588,16.4293174685366
"12","down",2,2,2,2,2,2,-897.269094660463,-112.013226997808,673.242640664846
"13","down",0.513405727716856,2,2,0.838850917830579,2,2,-2.14614491510543,2.75857767536249,7.66330026583042
"14","up",2,2,2,2,2,2,-16.6308329882697,0.477388447458868,17.5856098831875
"15","down",2,2,2,2,2,2,-362.200165236075,-47.9104990677124,266.37916710065
"16","down",2,2,2,2,2,2,-58.1520817592976,-8.96496245759266,40.2221568441123
"17","up",1.60845727707376,1.82548841581211,2,1.65467146855119,1.89624483834731,2,1.39825885119502,1.85014260114432,2.30202635109362
"18","down",1.78794227910532,1.89348848677489,1.97738408376383,1.81125071729573,1.9248872410949,2,1.70637138172264,1.95293744485435,2.19950350798606
"19","up",0.682906845695373,2,2,1.203635853883,2,2,-8.5319799905595,-0.906452382463016,6.71907522563346
"20","up",2,2,2,2,2,2,-35.6125773383113,3.4062804059365,42.4251381501843
"21","up",-0.726029116392444,2,2,2,2,2,-3.25044402812933,-2.39695178073197,-1.54345953333462
"22","down",0.301109279451651,0.456606115247442,0.578926173497462,0.335671255607807,0.502484720057125,0.647926595696013,0.187993887574916,0.546150334708681,0.904306781842445
"23","up",-1.65722783396549,2,2,-1.4903248780408,2,2,-2.57846438347356,-2.13496062917116,-1.69145687486875
"24","up",2,2,2,2,2,2,-24.5620989711426,1.74235455523518,28.046808081613
"25","down",1.55898947265043,1.64021649222114,1.69418811908967,1.57783443028937,1.66177601242421,1.71906501850856,1.56272477975686,1.78884725962987,2.01496973950288
"26","up",2,2,2,2,2,2,-14.671102441984,0.191253331347958,15.0536091046799
"27","up",2,2,2,2,2,2,-17.1573315050419,0.460882843030097,18.0790971911021
"28","up",2,2,2,2,2,2,-18.0112199460685,0.737042860697535,19.4853056674635
"29","up",1.18863932591409,2,2,1.80816790493924,2,2,-9.77483684301578,-0.702184484312719,8.37046787439034
"30","down",-1.01148497079101,0.65276307252235,2,-0.792074161495484,2,2,-5.29538351323012,-2.43348261502352,0.428418283183083
"31","down",0.292138930641035,0.369644530200927,0.448996863678079,0.308341206566108,0.396108220929873,0.522768403156393,0.212660576577399,0.366971699492271,0.521282822407142
"32","down",2,2,2,2,2,2,-144.982100498234,18.5405196976115,182.063139893457
"33","down",1.57194984801183,1.69074346003048,1.77559632335043,1.59894318915458,1.72380635153189,1.81777672116407,1.51946015905287,1.82449584177324,2.12953152449361
"34","down",2,2,2,2,2,2,-45.1277468106518,-7.4659832898503,30.1957802309512
"35","down",1.72709917196641,1.80949837476087,1.86943472518593,1.74575127262496,1.83268641074407,1.89992345725952,1.684505316852,1.89054741302313,2.09658950919426
"36","down",0.748187840466168,2,2,1.02502564745243,2,2,-0.751004291802522,2.63832417190174,6.02765263560601
"37","up",2,2,2,2,2,2,-16.7929132252413,0.402227803827643,17.5973688328966
"38","up",1.21386856581399,2,2,1.58271000195098,2,2,-1.47777414579344,2.77995740193869,7.03768894967082
"39","up",2,2,2,2,2,2,-86.8358211432139,12.0075860055269,110.850993154268
"40","down",2,2,2,2,2,2,-100.632184428433,-14.2678640698281,72.0964562887763
"41","down",2,2,2,2,2,2,-15.3944726259376,-3.69293470523639,8.00860321546479
"42","up",2,2,2,2,2,2,-1373.58907729484,234.026607392017,1841.64229207887
"43","down",1.06080503639398,2,2,1.69078031740054,2,2,-11.2489813603888,-2.08381528458557,7.08135079121765
"44","up",2,2,2,2,2,2,-142.474231649327,22.0632279715193,186.600687592366
"45","down",2,2,2,2,2,2,-36.9079751289186,-6.3747063773282,24.1585623742622
"46","down",1.37292054624296,1.52550695810056,1.62841014278846,1.40831983197503,1.56632813004932,1.67692836678912,1.35349539719522,1.75579008865485,2.15808478011447
"47","down",2,2,2,2,2,2,-35.1672658532262,-6.30372307338247,22.5598197064613
"48","up",2,2,2,2,2,2,-14.6632945620169,0.170174434424964,15.0036434308669
"49","down",2,2,2,2,2,2,-16.3216449892525,-3.81353969168242,8.69456560588768
"50","down",1.59987431633033,1.73802228018422,1.83576006473395,1.6314604743394,1.77617155634478,1.88416859075484,1.54489505610043,1.89385995692121,2.24282485774198
"51","down",-0.06170136149451,0.350424813751938,0.621845183392892,0.0341629518490148,0.459165139251276,0.745866557055978,-0.00453034714600209,1.15588639381697,2.31630313477994
"52","down",1.7787769040075,1.85330118606169,1.90806109099987,1.7956094793961,1.87440221145501,1.93628104794487,1.73759919478363,1.92147120082478,2.10534320686593
"53","up",2,2,2,2,2,2,-62.9039403301785,8.03297185187983,78.9698840339382
"54","up",2,2,2,2,2,2,-28.3587741558841,2.44575700943277,33.2502881747497
"55","up",2,2,2,2,2,2,-36.826117980429,3.78397292229914,44.3940638250273
"56","down",2,2,2,2,2,2,-149.128893192141,-20.135280545643,108.858332100855
"57","down",2,2,2,2,2,2,-58.1343227309805,9.78068831828467,77.6956993675498
"58","down",2,2,2,2,2,2,-60.5521565958354,-9.25285966827857,42.0464372592782
"59","up",1.6587404549195,1.73290495580407,1.78402645578635,1.67578765730964,1.75306127694661,1.8085472062207,1.63990045712542,1.83541752266351,2.03093458820161
"60","up",2,2,2,2,2,2,-42.1891559686186,4.69490601666443,51.5789680019475
"61","down",0.778280901297318,1.21764467575973,1.52029976474432,0.879449371822433,1.33691553755175,1.66580134234893,0.665337469710823,1.8100744437457,2.95481141778058
"62","down",2,2,2,2,2,2,-17.50096006148,-3.94990956558989,9.6011409303002
"63","up",2,2,2,2,2,2,-13.9250478683421,0.0487605812917924,14.0225690309257
"64","down",2,2,2,2,2,2,-23.0279334496261,-4.65819583080695,13.7115417880121
"65","down",2,2,2,2,2,2,-350.770996645642,-46.2162780347627,258.338440576116
"66","up",2,2,2,2,2,2,-54.099596619459,6.90671184939171,67.9130203182424
"67","up",2,2,2,2,2,2,-17.4529851275285,0.651078808897336,18.7551427453232
"68","down",1.34198225282772,1.53650392204597,1.66632232196091,1.3873285362105,1.58814210658154,1.72707964609721,1.32909791211737,1.84045039812031,2.35180288412326
"69","up",2,2,2,2,2,2,-118.030814842669,17.6680305478203,153.366875938309
"70","down",2,2,2,2,2,2,-28.5993059499189,-5.39201983783074,17.8152662742574
"71","up",2,2,2,2,2,2,-80.7555444741154,11.1567361632075,103.06901680053
