"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",86.4562830287758,100,100,100,100,100,1.20145101361109e-07,0.000441835254875447,1.62485519791691
"2","up",100,100,100,100,100,100,1.7294364841572e-14,0.906584151023878,47523851290105.3
"3","up",100,100,100,100,100,100,1.49777725136795e-06,0.000501530506271848,0.167937420929292
"4","up",100,100,100,100,100,100,2.40836570131784e-17,2.79376327908205,324083392122569536
"5","up",100,100,100,100,100,100,1.2264746593616e-16,2.11605584996793,36508641462794528
"6","down",51.0420577772162,61.6663802672246,70.6532515928191,53.2809962180905,65.0126597320815,75.6503382801499,46.6749595603062,75.2784434663521,121.410797226186
"7","up",100,100,100,100,100,100,2.45953637780111e-15,1.38004791332668,774346035402025
"8","down",100,100,100,100,100,100,1.09190938935703e-15,0.000238319595678761,52015515.424712
"9","up",100,100,100,100,100,100,3.89024770570482e-95,40716671808280.3,4.26154704933599e+121
"10","down",100,100,100,100,100,100,7.77136123823776e-59,6.79336997131591e-10,5.93845455801266e+39
"11","down",100,100,100,100,100,100,2.99296431787514e-27,8.96828712233052e-06,26873081455799096
"12","down",100,100,100,100,100,100,0,9.70002831924906e-113,Inf
"13","down",3.26141247244439,100,100,6.90002902862224,100,100,0.00714257953169901,573.558440669715,46057489.9311234
"14","up",100,100,100,100,100,100,2.33973683187741e-17,3.00184626994056,385132246737577280
"15","down",100,100,100,100,100,100,0,1.22885582452541e-48,2.39423679404839e+266
"16","down",100,100,100,100,100,100,7.04560417529391e-59,1.08402061768619e-09,1.66784944247842e+40
"17","up",40.5935728101686,66.9095972623984,100,45.1514257432735,78.7489620613392,100,25.0183607900838,70.8178277448544,200.459365366882
"18","down",61.3680437151867,78.2507460377612,94.9257601890622,64.7516317684941,84.1176712714038,100,50.8594174870854,89.7299539471248,158.308235390183
"19","up",4.81844432974592,100,100,15.9821739744764,100,100,2.93778500270283e-09,0.124035961494719,5236911.39064465
"20","up",100,100,100,100,100,100,2.4401844860712e-36,2548.47516622959,2.66157157787109e+42
"21","up",0.187919082604348,100,100,100,100,100,0.000561766674176531,0.00400911227916088,0.0286114894417318
"22","down",2.00036514866454,2.86158147227597,3.79250510015284,2.16606385620316,3.18042178840867,4.44556122395856,1.54167875462596,3.5168215721411,8.02244561856062
"23","up",0.0220177109528997,100,100,0.0323351680191968,100,100,0.00263958478605649,0.00732890970126453,0.0203490024995695
"24","up",100,100,100,100,100,100,2.74094946720653e-25,55.2528335797909,1.11380222624369e+28
"25","down",36.2234217710026,43.6733486030948,49.4524849088495,37.8298335389893,45.8961242316221,52.3678831014796,36.5363180997981,61.4960554460582,103.507004320875
"26","up",100,100,100,100,100,100,2.13254182689451e-15,1.55329280782686,1131381582494045
"27","up",100,100,100,100,100,100,6.96094969052691e-18,2.88990018648024,1199767770076551936
"28","up",100,100,100,100,100,100,9.74495984554786e-19,5.45811724812515,30570720009577050112
"29","up",15.4397166508023,100,100,64.2936238330364,100,100,1.67943483446938e-10,0.198525142161954,234675566.21735
"30","down",0.0973901487612092,4.49534546356919,100,0.161408290740373,100,100,5.06543196675253e-06,0.00368567795468925,2.68174996226259
"31","down",1.9594714074192,2.34231085033336,2.81188052391397,2.03395437416657,2.48947758868935,3.33248653381289,1.6317761326226,2.32793955410738,3.32110665135647
"32","down",100,100,100,100,100,100,1.04207625906694e-145,3471520207586711552,1.15648470510916e+182
"33","down",37.3207057647136,49.0617979991833,59.6480600213434,39.7139595523783,52.9427323805059,65.73198101824,33.0719771371386,66.756850918489,134.750853451362
"34","down",100,100,100,100,100,100,7.45166271796816e-46,3.419926009531e-08,1.56956834378242e+30
"35","down",53.345669742613,64.4908906452336,74.0345984484171,55.6866731130645,68.0277975749524,79.4188249748915,48.3621185000171,77.722616590146,124.907785617719
"36","down",5.59999759466444,100,100,10.5931628172097,100,100,0.177417194800964,434.834678187138,1065743.36025453
"37","up",100,100,100,100,100,100,1.61096748442072e-17,2.52480478049076,395702535354479360
"38","up",16.3632123284934,100,100,38.2569199266553,100,100,0.0332832597397189,602.500486517541,10906589.0508518
"39","up",100,100,100,100,100,100,1.45941517181312e-87,1017620870821.55,7.09566583061589e+110
"40","down",100,100,100,100,100,100,2.33246734131702e-101,5.39679510798582e-15,1.24869475862134e+72
"41","down",100,100,100,100,100,100,4.03206360186195e-16,0.000202798759794502,102000714.857761
"42","up",100,100,100,100,100,100,0,1.06318145349266e+234,Inf
"43","down",11.5028388723949,100,100,49.0659619148087,100,100,5.63661847273596e-12,0.00824488714428992,12060096.7319119
"44","up",100,100,100,100,100,100,3.35558582140331e-143,1.15671927235725e+22,3.98737968943763e+186
"45","down",100,100,100,100,100,100,1.2360182154386e-37,4.21981705118475e-07,1.44066290634324e+24
"46","down",23.6004642546263,33.5356677364309,42.5020759264201,25.604708267486,36.8407217616768,47.5256829872998,22.5681207688696,56.988875639221,143.907947847502
"47","down",100,100,100,100,100,100,6.80352753476998e-36,4.96909073081817e-07,3.62927357387962e+22
"48","up",100,100,100,100,100,100,2.17122803500066e-15,1.47970259153296,1008424598473239
"49","down",100,100,100,100,100,100,4.76820600942786e-17,0.000153624438420081,494954874.710147
"50","down",39.7991976064915,54.7044026637731,68.5109618429886,42.8016463522874,59.7271175890655,76.5893865041645,35.0667127717031,78.3177057904024,174.914115280904
"51","down",0.867558238935701,2.24091205937632,4.18644300859329,1.08183979280305,2.87849274540848,5.57014572257903,0.989622709699724,14.3181330524029,207.158679865498
"52","down",60.0864995340108,71.3347569825466,80.9209720459053,62.4610785836665,74.8862720768337,86.3537193690656,54.6511361243584,83.4586202901701,127.450988116499
"53","up",100,100,100,100,100,100,1.24755491007738e-63,107887679.424529,9.33005134891292e+78
"54","up",100,100,100,100,100,100,4.37749686888862e-29,279.098183194223,1.77945977336801e+33
"55","up",100,100,100,100,100,100,1.49238893216233e-37,6080.97086027666,2.47778617266725e+44
"56","down",100,100,100,100,100,100,7.43201894174429e-150,7.32351295856548e-21,7.21659114093792e+108
"57","down",100,100,100,100,100,100,7.33968242240598e-59,6035153468.42488,4.9624868340694e+77
"58","down",100,100,100,100,100,100,2.80442225040677e-61,5.58650679984245e-10,1.11285161213361e+42
"59","up",45.5764458478378,54.0635993244231,60.8172047984075,47.4010167429688,56.6319188424652,64.3498007069226,43.6415791684275,68.4569463415536,107.382766428413
"60","up",100,100,100,100,100,100,6.46910248490955e-43,49534.2984691189,3.79287038743233e+51
"61","down",6.00179146095786,16.506107748176,33.1359758282709,7.57616408064484,21.7227866873565,46.3234975476056,4.62740455463672,64.5764912087176,901.179736414241
"62","down",100,100,100,100,100,100,3.15529477674895e-18,0.000112225211981376,3991544085.53911
"63","up",100,100,100,100,100,100,1.18837123683407e-14,1.11882092764346,105334110195041
"64","down",100,100,100,100,100,100,9.37705687966394e-24,2.19686904359942e-05,51468532788706.2
"65","down",100,100,100,100,100,100,0,6.07745798638341e-47,2.17992010147386e+258
"66","up",100,100,100,100,100,100,7.95066363843656e-55,8066996.14474596,8.18503080481787e+67
"67","up",100,100,100,100,100,100,3.52382938235828e-18,4.47794555481321,5690399340064548864
"68","down",21.9777006045132,34.3956817587178,46.3791005541018,24.3965567750206,38.7384381196029,53.3432713765327,21.3352586443005,69.2548827153529,224.80340453705
"69","up",100,100,100,100,100,100,9.31504929109478e-119,465618843514351296,2.32742630404464e+153
"70","down",100,100,100,100,100,100,2.51590391008355e-29,4.05490012933595e-06,653531122273370624
"71","up",100,100,100,100,100,100,1.7557210896106e-81,143461762879.521,1.17224071239386e+103
"72","down",100,100,100,100,100,100,1.15335147030071e-20,5.51898074222038e-05,264092509675.805
"73","down",100,100,100,100,100,100,1.54781763556325e-17,0.00804557324865897,4182097904316.82
"74","down",46.4006226559718,56.4407025233834,64.4645741753712,48.5533903671029,59.4903899353693,68.6600929531472,44.8916199233104,75.0411048484917,125.4391671876
"75","up",36.4187505011731,100,100,100,100,100,2.56114064771134e-11,0.293412295926965,3361423179.86577
"76","down",100,100,100,100,100,100,1.16552132482166e-20,5.46607188713198e-05,256348307311.032
