0.5% DMSO,dose_0.01
DMSO 1,86.4721021
DMSO 2,117.3549957
DMSO 3,92.45259896
DMSO 4,94.4134176
DMSO 5,109.2175983
DMSO 6,100.4919554
DMSO 7,98.92330048
DMSO 8,105.0998792
DMSO 9,99.80566887
DMSO 10,91.17806684
DMSO 11,89.70745286
DMSO 12,101.3743238
DMSO 13,89.02116634
DMSO 14,98.43309582
DMSO 15,98.62917768
DMSO 16,103.0410196
DMSO 17,98.04093209
DMSO 18,109.707803
DMSO 19,102.8449378
DMSO 20,96.17815438
DMSO 21,94.11929481
DMSO 22,91.08002591
DMSO 23,103.5312243
DMSO 24,100.3939145
DMSO 25,88.04075702
DMSO 26,93.92321294
DMSO 27,89.80549379
DMSO 28,94.51145853
DMSO 29,102.3547331
DMSO 30,115.8843817
DMSO 31,102.8449378
DMSO 32,86.96230676
DMSO 33,88.9231254
DMSO 34,108.8254346
DMSO 35,99.02134141
DMSO 36,94.11929481
DMSO 37,104.1194699
DMSO 38,94.90362226
DMSO 39,97.35464556
DMSO 40,88.72704354
DMSO 41,97.55072743
DMSO 42,99.51154607
DMSO 43,86.96230676
DMSO 44,97.64876836
DMSO 45,109.6097621
DMSO 46,93.82517201
DMSO 47,94.60949947
DMSO 48,90.78590311
DMSO 49,97.74680929
DMSO 50,98.13897302
DMSO 51,108.1391481
DMSO 52,84.51128346
DMSO 53,96.66835904
DMSO 54,88.82508447
DMSO 55,93.82517201
DMSO 56,91.76631244
DMSO 57,101.3743238
DMSO 58,106.2763704
DMSO 59,120.1001418
DMSO 60,94.80558133
DMSO 61,131.1787671
DMSO 62,118.433446
DMSO 63,124.6100247
DMSO 64,99.21742327
DMSO 65,111.6686216
DMSO 66,126.6688843
DMSO 67,97.64876836
DMSO 68,107.4528616
DMSO 69,112.4529491
DMSO 70,120.1001418
DMSO 71,101.9625694
DMSO 72,114.8059315
DMSO 73,115.7863408
DMSO 74,131.1787671
DMSO 75,110.9823351
DMSO 76,103.1390606
DMSO 77,110.0999667
DMSO 78,107.5509025
DMSO 79,108.0411072
DMSO 80,98.72721861
DMSO 81,106.864616
DMSO 82,100.0017507
DMSO 83,94.7075404
DMSO 84,108.4332709
DMSO 85,87.35447049
DMSO 86,91.27610777
DMSO 87,98.13897302
DMSO 88,95.78599065
DMSO 89,87.35447049
DMSO 90,89.2172482
DMSO 91,101.9625694
DMSO 92,110.8842942
DMSO 93,97.84485022
DMSO 94,94.31537667
DMSO 95,99.31546421
DMSO 96,94.4134176
DMSO 97,100.0997917
DMSO 98,99.9037098
DMSO 99,93.82517201
DMSO 100,105.394002
DMSO 101,110.4921305
DMSO 102,98.13897302
DMSO 103,110.9823351
DMSO 104,77.55037728
DMSO 105,114.3157268
DMSO 106,83.04066948
DMSO 107,85.09952905
DMSO 108,81.66809643
DMSO 109,101.5704056
DMSO 110,81.96221923
DMSO 111,83.62891507
DMSO 112,88.23683888
