,dose_1000x,dose_100x,dose_10x,dose_1x
016/kerosine,106.7642267,130.1661444,93.78686004,179.2308747
118/OLBO,106.8563572,120.651756,107.55191,168.2286304
"1,2,4-Trimethylbenzene",119.3782966,135.1340063,107.0136488,172.4806679
187(2)/OGO,109.2985028,139.0952245,108.0117719,108.1772015
043/kerosine,97.56402667,126.0856379,103.8085077,132.6299279
017/HFO,108.1912563,138.3474824,113.5104596,115.9792131
Pentadecane,113.3786756,117.9668555,117.4160798,128.5967067
181/VHGO,98.74093584,121.3270573,110.663714,112.415166
151/OLBO,98.12938902,116.17087,114.4783786,105.6380892
135/TDAE,100.0947606,102.9245716,87.482479,61.16765064
Benz(a)anthracene,107.3755237,106.6219596,86.67780083,74.60406943
136/slackwax,95.57365555,84.22311664,96.18833818,66.32861478
006/HFO,96.52392252,100.8536575,111.6038028,118.586992
108/OLBO,112.5271012,95.82846684,107.5648023,105.331852
082/UATO,89.85192468,81.5154232,108.5001433,88.62994898
104/kerosine,87.7651486,78.67611616,91.15901559,42.91149055
180/VHGO,99.68613932,98.6532857,121.6597306,63.18597361
164/HFO,93.86471109,88.99033469,108.1485412,93.02700374
Dibenzothiophene,78.53011156,80.61111181,111.3523237,109.1577878
191/BITUMEN,82.66732809,70.7792523,99.92155031,101.7955192
041/CGO,109.0769013,134.5927726,101.3164174,157.5241143
195/UDAE,94.63576915,127.8908778,77.39329392,12.18584479
009/gasoline,100.5059136,128.9197042,103.4192365,127.1222058
119/OLBO,109.0774122,130.7403473,115.5216436,156.3916901
184/VHGO,88.59602055,118.1598046,103.8567029,83.73172739
060/OLBO,105.8005971,135.4653348,114.3042759,123.5218972
155/HFO,116.5580696,106.9474374,111.0557026,51.6075021
128/kerosine,100.4912681,124.8783504,112.9155229,98.8124047
059/dieselfuel,94.73824236,94.6895996,109.6974895,113.1364153
096A/UDAE,100.6828405,93.05850892,84.48470548,65.13434446
129/HFO,95.68824253,91.88511963,50.86743878,116.8326922
021/HFO,97.9196516,99.41550904,94.93839253,18.86651919
080/HFO,106.7493427,101.9025248,125.6943192,64.47535847
