"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",1.58895375947099,1.69302841233304,1.76464797781654,1.61297978128612,1.72123207689774,1.79919126507872,1.56189219018867,1.82859361505466,2.09529503992065
"2","up",1.09137439746601,1.35641599618357,1.54342914840853,1.1520927675444,1.4294383354539,1.63600339826895,0.989043915492915,1.65439258781214,2.31974126013136
"3","up",-0.751048882184594,0.139883233535018,0.894891211359144,-0.571009773551942,0.426057289909541,1.28674479540771,-2.42590073213214,1.38153402385556,5.18896877984326
"4","up",-1.27584832865534,2,2,-0.962316692524261,2,2,-3.30628985488681,-2.30566664249796,-1.30504343010911
"5","up",0.0813698212017554,1.74036616044307,2,0.397259003543194,2,2,-3.78385620485008,1.3906269506951,6.56511010624029
"6","up",-1.28682502240463,2,2,-1.08544527592147,2,2,-3.5046708991356,-2.20554894203959,-0.906426984943582
"7","up",-0.726730048414959,1.53096789102426,2,-0.449530758673397,2,2,-4.90804051510189,-1.91395743161945,1.080125651863
"8","up",0.411662188809192,2,2,2,2,2,-5.2696846970737,-2.73582915163118,-0.20197360618867
"9","up",2,2,2,2,2,2,-5.68914475410841,-3.06777516536464,-0.446405576620867
"10","down",1.06325930450897,1.52938508229248,1.91414882281621,1.16540608888746,1.67107015831542,2,0.676941430779406,1.72583556573388,2.77472970068836
"11","down",1.28064570730678,1.9017573417388,2,1.41457848054801,2,2,0.708566050738949,2.05824255403057,3.40791905732219
"12","down",0.429220265140566,1.72664693676729,2,0.697985848474737,2,2,-1.27670749024001,2.17085451198233,5.61841651420468
"13","up",1.32447519130251,2,2,1.59776015867048,2,2,-0.285942325858651,2.39335452413895,5.07265137413655
"14","up",2,2,2,2,2,2,-20.0868686011467,-1.3355649377237,17.4157387256993
"15","down",2,2,2,2,2,2,-15.3332486614833,-2.50987727037997,10.3134941207234
"16","down",0.453065898386206,1.07600326226797,1.518582960216,0.594653549049351,1.24888475789156,1.73676094878433,0.194078371294603,1.8175209078964,3.44096344449819
"17","down",1.75506013832547,1.88105706154436,1.99963242018851,1.78183160236027,1.92228491864404,2,1.63154730041068,1.89407875533655,2.15661021026243
"18","down",2,2,2,2,2,2,-31.6432975600857,-3.10152562280272,25.4402463144803
"19","up",2,2,2,2,2,2,-70.5641448631487,1.16623057932086,72.8966060217904
"20","down",2,2,2,2,2,2,-2.54917334187741,-2.18181113338435,-1.8144489248913
"21","up",-0.117399372743343,0.794269287312834,1.48698372556429,0.0802187532567331,1.06212214884297,1.83405638892283,-0.841806066554459,1.97573610517644,4.79327827690733
"22","down",0.886480699656042,1.01631090546408,1.10922080529489,0.915982744711856,1.05247943893739,1.15555371972823,0.828032148341185,1.15942426884682,1.49081638935245
"23","up",-0.163416131508126,2,2,0.225248880934666,2,2,-6.18158726796113,-1.74442584635046,2.69273557526021
"24","up",-0.539560408567762,0.434124909878671,1.24402763882084,-0.34009787813888,0.741889179762592,1.66361511583312,-2.0916395839877,1.69209971585099,5.47583901568969
"25","down",2,2,2,2,2,2,-34.8729770385038,-3.1393941873708,28.5941886637622
"26","up",-1.15580015232504,2,2,-0.946704955118083,2,2,-3.82296487923764,-2.11736943457401,-0.411773989910378
"27","down",1.69705276526184,1.80608943660111,1.89677396987633,1.7208401939611,1.83942589211897,1.9514979340768,1.60329091733668,1.85084768385637,2.09840445037605
"28","up",2,2,2,2,2,2,-4.11810141407644,-2.68263755127898,-1.24717368848152
"29","up",2,2,2,2,2,2,-15.1135303740606,-1.45505171193989,12.2034269501809
"30","down",0.717041899229946,1.47193632241236,2,0.880693579759578,1.70535734346233,2,0.0362824814042506,1.748051418648,3.45982035589176
"31","down",0.462618699687602,2,2,2,2,2,-4.78011497733352,-3.06830264749786,-1.35649031766219
"32","down",1.2099010358141,1.39521432500324,1.52435036484718,1.25242400028744,1.44590473272166,1.58718058253523,1.15025402601292,1.62790793204109,2.10556183806926
"33","down",2,2,2,2,2,2,-19.1068899381106,0.260813682462749,19.6285173030361
"34","up",2,2,2,2,2,2,-89.7215918147052,1.46926981149085,92.6601314376869
"35","down",1.69187085531277,1.77816071201988,1.8440009580131,1.71114384426037,1.80318889544104,1.87944030850919,1.63383030042896,1.84128816647566,2.04874603252236
"36","down",2,2,2,2,2,2,-20.1020930929302,-2.25451904645715,15.5930550000159
"37","down",1.641439251821,1.72872466414198,1.7920402054419,1.66120322179573,1.75325016229682,1.82411527315723,1.59717943350467,1.81673377051624,2.03628810752781
"38","up",2,2,2,2,2,2,-18.4235024651181,-1.3048491846088,15.8138040959005
"39","down",2,2,2,2,2,2,-24.0311167845817,0.971221132709291,25.9735590500003
"40","down",-1.78287025738218,2,2,-1.68068915919395,2,2,-2.37319701359761,-2.08716926096061,-1.80114150832362
"41","up",1.68564525548566,1.77926434533804,1.84903617249926,1.7067180941351,1.80600396575036,1.88563587695546,1.62967161539926,1.85715378183261,2.08463594826596
