"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",38.8109040752733,49.3206069335483,58.163157875785,41.0185006252298,52.6298432934736,62.9783481030248,36.4663411182429,67.3897142812134,124.536036565283
"2","up",12.3416832908391,22.7204012127965,34.9485489249323,14.1936067208104,26.8805614461503,43.251721538396,9.7508823283476,45.1224412144367,208.805176043523
"3","up",0.177398979753992,1.38001317786014,7.85038961562966,0.268528401417895,2.6672104860981,19.3528439801346,0.00375058720637881,24.0732110799331,154514.335972084
"4","up",0.0529848453832228,100,100,0.10906447357356,100,100,0.000493980886421263,0.00494690257626067,0.0495400647508961
"5","up",1.20606251947105,55.0004395702824,100,2.49608289131254,100,100,0.000164491626577175,24.5825511049598,3673754.29012759
"6","up",0.0516624475762101,100,100,0.0821400048344431,100,100,0.000312844915390456,0.00622946941582285,0.124043215323602
"7","up",0.187616034162852,33.9600163782951,100,0.355196960957482,100,100,1.23583213794193e-05,0.0121910908687247,12.026123290256
"8","up",2.58025238889316,100,100,100,100,100,5.37421829368145e-06,0.00183726096663453,0.628096529589712
"9","up",100,100,100,100,100,100,2.04576265268295e-06,0.000855509496278994,0.35776217600985
"10","down",11.5680272904845,33.8364726073724,82.0632708269972,14.635450288015,46.8889122951012,100,4.75271126264619,53.1906828503458,595.291526401461
"11","down",19.082958564872,79.7548939223573,100,25.9763711316201,100,100,5.11170815790145,114.351681209842,2558.10906874732
"12","down",2.68670674201953,53.2901492737859,100,4.98868231528386,100,100,0.0528801294661677,148.202152692866,415352.199106319
"13","up",21.1093660693234,100,100,39.6059248120317,100,100,0.517675574504579,247.374269158723,118209.226116908
"14","up",100,100,100,100,100,100,8.18712457884272e-21,0.0461779939256174,260458614310691680
"15","down",100,100,100,100,100,100,4.64249386520804e-16,0.0030911688591749,20582310269.7939
"16","down",2.83834967741622,11.9125095625354,33.005244948421,3.93236252844277,17.7371875372214,54.5457539106695,1.5634297483634,65.6932741909394,2760.34550221622
"17","down",56.8931707417843,76.0426182059161,99.9153974287313,60.5106199393933,83.6151394970228,100,42.8102043019419,78.3571723456592,143.420162508518
"18","down",100,100,100,100,100,100,2.27353916478129e-32,0.000791542753266174,2.7557912348894e+25
"19","up",100,100,100,100,100,100,2.7280676575236e-71,14.6632614867759,7.88144813185276e+72
"20","down",100,100,100,100,100,100,0.00282375269306058,0.00657943902749558,0.015330314875986
"21","up",0.763133690907323,6.22686266440193,30.6890698424697,1.20287016533404,11.5377772152543,68.2427294949583,0.143944121473194,94.5662364198273,62126.6987431375
"22","down",7.69982225059543,10.3827143410977,12.8594029536558,8.24105371198071,11.284425117364,14.3071694132782,6.73026474748144,14.4352486419462,30.9611005172994
"23","up",0.686410421307999,100,100,1.67976636527192,100,100,6.58283139983427e-07,0.0180125066288967,492.873621317743
"24","up",0.288695218814032,2.7172206715825,17.5399212364107,0.456985186003092,5.51936581981883,46.0908922863557,0.00809767637285924,49.2152523011857,299115.566928261
