1% DMSO,dose_0.01
DMSO 1,100.518788
DMSO 2,94.74051298
DMSO 3,102.3501474
DMSO 4,109.6985411
DMSO 5,93.1981414
DMSO 6,85.21320706
DMSO 7,97.84821781
DMSO 8,106.7104697
DMSO 9,91.47203103
DMSO 10,98.22175796
DMSO 11,92.42607291
DMSO 12,103.9175015
DMSO 13,103.6524858
DMSO 14,101.4488465
DMSO 15,111.5301616
DMSO 16,108.147842
DMSO 17,96.21045169
DMSO 18,112.0001124
DMSO 19,90.14949547
DMSO 20,107.4012726
DMSO 21,109.9872848
DMSO 22,104.248388
DMSO 23,88.53696165
DMSO 24,100.1558403
DMSO 25,89.45289112
DMSO 26,99.69169099
DMSO 27,96.93052293
DMSO 28,104.1403632
DMSO 29,88.20776553
DMSO 30,115.6348839
DMSO 31,87.69797604
DMSO 32,103.9678932
DMSO 33,102.7849514
DMSO 34,111.8739976
DMSO 35,97.61705572
DMSO 36,108.3390435
DMSO 37,83.9577405
DMSO 38,84.04096083
DMSO 39,108.5951721
DMSO 40,102.1262873
DMSO 41,104.7831335
DMSO 42,97.70705568
DMSO 43,120.5845559
DMSO 44,116.9839475
DMSO 45,95.84695485
DMSO 46,106.4564478
DMSO 47,114.6821793
DMSO 48,110.1177748
DMSO 49,84.05359812
DMSO 50,83.63164576
DMSO 51,112.2204381
DMSO 52,109.0676736
DMSO 53,81.97158566
DMSO 54,86.50085111
DMSO 55,83.60020851
DMSO 56,96.94822216
DMSO 57,113.2440425
DMSO 58,105.7830454
DMSO 59,110.7234427
DMSO 60,109.0248329
DMSO 61,116.5459023
DMSO 62,106.9997338
DMSO 63,96.89425207
DMSO 64,92.30104491
DMSO 65,95.18444452
DMSO 66,100.7347165
DMSO 67,87.70647143
DMSO 68,96.95941559
DMSO 69,108.9545781
DMSO 70,116.7427439
DMSO 71,80.48338179
DMSO 72,95.03986655
DMSO 73,111.7510981
DMSO 74,112.2493086
DMSO 75,101.2950372
DMSO 76,82.46300308
DMSO 77,103.1796344
DMSO 78,121.0586798
DMSO 79,74.69214148
DMSO 80,85.53238243
DMSO 81,113.5722264
DMSO 82,106.2028566
DMSO 83,75.09227461
DMSO 84,79.58944249
DMSO 85,110.9654055
DMSO 86,91.77685423
DMSO 87,123.1367481
DMSO 88,117.2732889
DMSO 89,85.38920506
DMSO 90,107.3966579
DMSO 91,111.5680854
DMSO 92,87.04326762
DMSO 93,89.93298467
DMSO 94,84.22051926
DMSO 95,123.7325977
DMSO 96,77.78808518
DMSO 97,121.0868593
DMSO 98,83.2250158
DMSO 99,112.7585185
DMSO 100,75.55607346
DMSO 101,127.5333711
DMSO 102,87.70097294
DMSO 103,86.79332213
DMSO 104,97.64798778
DMSO 105,102.8554396
DMSO 106,89.45271138
DMSO 107,94.43113041
DMSO 108,97.75119882
DMSO 109,94.87172708
DMSO 110,120.6321897
DMSO 111,97.6138655
DMSO 112,99.865917
