,dose_0.1,dose_0.5,dose_1,dose_10,dose_50
ISO_P1_1,82.35294118,82.76311078,85.29248999,86.5343924,81.64653797
ISO_P1_2,80.30209317,80.41602917,81.57817637,78.71838276,70.70868192
ISO_P2_1,89.88814318,96.87248322,102.1342282,96.6689038,0
ISO_P2_2,87.41387025,89.3557047,86.19239374,88.99552573,0
ISO_P3_1,83.34674175,87.51286776,89.45060078,92.64786028,0
ISO_P3_2,86.25334129,85.74468637,83.61318004,88.04574434,0
ISO_P4_1,101.1570706,105.1202106,114.847918,120.6540567,0
ISO_P4_2,92.28850551,97.30478764,96.99993071,100.2424998,0
PRO_P1_1,37.96347537,68.53250431,64.03203229,50.40528663,16.86252808
PRO_P1_2,70.54917152,69.52374752,65.1486051,50.47364823,17.81959048
PRO_P2_1,0,74.7606264,71.03355705,54.93512304,17.63310962
PRO_P2_2,78.42505593,75.55928412,74.04026846,54.30872483,24.21029083
PRO_P3_1,37.9795673,72.96775924,66.34313446,51.95546674,15.93785413
PRO_P3_2,76.87955778,74.99026808,70.26704383,55.15272623,15.33231256
PRO_P4_1,39.57597173,86.95350932,79.95565717,124.7141966,19.12284348
PRO_P4_2,88.796508,93.05064782,93.86821867,71.30880621,21.81112728
CIS_P1_1,59.95312347,28.14219213,3.212995215,0,0
CIS_P1_2,74.11536834,114.4828933,64.5789251,102.2689541,94.43015723
CIS_P2_1,50.14317673,84.37583893,0,19.23042506,70.40715884
CIS_P2_2,108.5861298,128.1610738,126.0626398,134.6129754,131.8568233
CIS_P3_1,52.17346171,80.80346716,0,0,0
CIS_P3_2,94.45237416,122.9491605,108.0286162,125.8073167,117.596173
CIS_P4_1,51.8395344,35.25254625,0,0,5.930852907
CIS_P4_2,72.74994804,0,0,0,16.87798794
SOT_P1_1,86.8420196,80.97431557,73.30642274,65.1030307,24.24558091
SOT_P2_1,94.17897092,87.77404922,81.901566,71.69127517,29.40939597
SOT_P3_1,90.58901894,87.63397607,79.10795076,69.4435073,38.58510887
SOT_P4_1,102.7367838,100.0346428,97.63735883,83.25365482,26.35626689
