,dose_1000x,dose_100x,dose_10x,dose_1x,,,,,
016/kerosine,80.39324197,88.10290828,43.59899307,48.72167948,,,,,
118/OLBO,95.59230444,89.57494407,36.79270582,72.36194831,,,,,
"1,2,4-Trimethylbenzene",99.19268205,150.2102908,81.09412711,100.8244994,,,,,
187(2)/OGO,97.23298284,116.3847875,40.20796028,113.9887757,,,,,
043/kerosine,103.7729093,124.3713647,124.0149136,128.6773367,,,,,
017/HFO,112.7282789,139.4675615,141.3091809,0,,,,,
Pentadecane,105.1629285,127.8478747,104.2015934,137.7953301,,,,,
181/VHGO,113.6397669,133.3288591,111.0078807,156.9181736,,,,,
151/OLBO,88.1636772,110.4653244,103.7656035,101.406499,,,,,
135/TDAE,101.3802533,132.5771812,138.0634781,0,,,,,
Benz(a)anthracene,80.25651877,89.70022371,107.8348429,128.2061941,,,,,
136/slackwax,83.83410918,94.17897092,94.75514494,96.39021686,,,,,
006/HFO,78.09173476,89.91946309,102.4818554,0,,,,,
108/OLBO,82.28457958,90.70246085,90.05614235,123.0790549,,,,,
082/UATO,81.57817637,90.79642058,122.9976038,0,,,,,
104/kerosine,80.73504997,92.29977629,0,0,,,,,
180/VHGO,76.72450275,93.36465324,87.92463603,0,,,,,
164/HFO,82.62638758,98.25055928,111.7829739,0,,,,,
Dibenzothiophene,77.93222436,92.14317673,86.13223298,99.9376429,,,,,
191/BITUMEN,81.00849637,90.8590604,87.44020277,96.83364512,,,,,
041/CGO,92.76669162,92.049217,102.9662886,111.2727777,,,,,
195/UDAE,103.1348677,120.7069351,0,0,,,,,
009/gasoline,91.49060842,115.6331096,107.035528,114.5984896,,,,,
119/OLBO,95.47836844,114.1297539,111.056324,119.2544862,,,,,
184/VHGO,107.5100101,136.7427293,164.8768588,0,,,,,
060/OLBO,111.3610469,129.8210291,126.8004048,158.3038869,,,,,
155/HFO,108.5582213,131.606264,131.9353974,134.9407608,,,,,
128/kerosine,113.4802565,124.6219239,120.3816642,129.4533361,,,,,
059/dieselfuel,100.2181061,108.3668904,108.0286162,111.5222061,,,,,
096A/UDAE,107.1226277,123.3378076,126.8730698,0,,,,,
129/HFO,90.82977962,92.70693512,0,0,,,,,
021/HFO,99.37497965,114.9127517,0,0,,,,,
080/HFO,82.85425958,97.62416107,125.783095,0,,,,,
"1,2,4,5-Tetramethylbenzene",83.28721638,93.02013423,92.79319025,106.3950669,,,,,
187(1)/OGO,80.80341157,90.48322148,116.6999715,0,,,,,
079/HFO,78.79813796,97.74944072,97.68596614,136.2710455,,,,,
083/UATO,77.45369315,92.01789709,114.5442435,0,,,,,
067/P&Hwax,83.31000358,91.51677852,87.6824194,104.843068,,,,,
063/P&Hwax,80.23373157,91.4541387,89.74126074,96.55650246,,,,,
090/FO,81.71489957,92.86353468,84.72737653,94.9767893,,,,,
081/OLBO,95.59230444,114.7248322,90.24991566,114.5707753,,,,,
154/OLBO,93.97441323,107.2080537,105.0735733,98.82907226,,,,,
127/slackwax,92.35652202,99.15883669,84.72737653,97.27707337,,,,,
Phenanthrene,88.5738468,111.8747204,107.5926262,106.7553523,,,,,
1-Methylnaphthalene,84.13034278,100.0671141,90.66168392,97.5819303,,,,,
188/SRGO,86.7964452,102.5100671,132.5167173,0,,,,,
Pyrene,79.82356196,102.7606264,84.12183496,104.7044966,,,,,
Fluoranthene,87.5028484,104.1073826,87.51286776,109.9424929,,,,,
074/OLBO,98.96481005,103.7628635,105.1462383,124.9913393,,,,,
091/HFO,93.49588203,107.082774,138.8627929,0,,,,,
008/HFO,96.38985644,122.0536913,0,0,,,,,
166/HFO,101.1523813,113.8478747,115.65844,0,,,,,
103/gasoline,96.61772844,99.81655481,94.75514494,99.02307213,,,,,
071/HFO,94.17949803,109.4317673,141.6967275,0,,,,,
093/petrolatum,114.8474885,127.033557,114.3504702,139.7076145,,,,,
190/BITUMENS,101.2207429,112.8456376,101.5129889,131.3101919,,,,,
089/UDAE,135.1964582,146.0134228,0,0,,,,,
085B/OLBO,117.2629317,116.9798658,117.8626113,168.2533084,,,,,
050/HFO,94.61245483,98.50111857,67.82065589,0,,,,,
115/OLBO,102.9753573,101.2572707,95.53023815,119.5039146,,,,,
169/SRGO,99.73957486,111.1230425,133.3402538,0,,,,,
179/VHGO,95.95689964,113.5033557,119.9941176,115.6793459,,,,,
Naphthalene,91.01207722,113.2527964,112.8245054,107.0602092,,,,,
145/HRBO,98.28119405,109.5883669,111.3227623,101.1293563,,,,,
076/gasoline,97.68872685,113.2214765,114.3020268,99.05078639,,,,,
Propylbenzene,101.0612325,113.5033557,106.9386413,107.97478,,,,,
141/gasoline,91.23994922,102.1029083,93.44717515,96.2793598,,,,,
036/OLBO,92.06028842,106.1431767,116.8937448,0,,,,,
065/P&Hwax,100.6510629,107.8970917,102.3365254,101.7944987,,,,,
140/OLBO,104.5704613,104.2639821,107.108193,108.5290653,,,,,
087/kerosine,98.03053485,95.14988814,101.7794272,106.6444953,,,,,
150/OLBO,102.7474853,98.46979866,99.45414753,102.0439271,,,,,
