,dose_1000x,dose_100x,dose_10x,dose_1x
092/OLBO_01,93.47309483,98.37234285,101.3574661,115.9184869
092/OLBO_02,111.4675615,112.9709172,110.6532438,131.5436242
092/OLBO_03,110.983659,106.5995381,116.0944299,125.9768683
092/OLBO_04,120.6124853,135.8553315,110.8570637,115.9564886
092/OLBO_regular,93.45030763,108.8680089,103.9109335,141.5644703
120/gasoline_01,99.80793646,102.5879749,99.03317165,100.9245093
120/gasoline_02,119.4228188,122.5548098,110.9038031,112.8769575
120/gasoline_03,118.8072561,109.2154776,103.1116186,106.2119915
120/gasoline_04,113.5730617,115.9010601,97.74821589,102.9307836
120/gasoline_regular,94.77196523,114.442953,98.87282762,135.1624749
134/HFO_01,102.0410821,120.4987142,0,0
134/HFO_02,110.8098434,119.2975391,127.5346756,0
134/HFO_03,110.910994,109.4576943,3.948131039,0
134/HFO_04,105.9239243,108.4459225,0,0
134/HFO_regular,102.8842085,128.787472,0,0
175/VHGO_01,101.1295941,100.3092549,116.6248901,0
175/VHGO_02,102.9485459,109.1185682,126.1252796,0
175/VHGO_03,109.2396993,99.18770924,108.1255028,0
175/VHGO_04,106.5890667,106.2287813,133.6936188,0
175/VHGO_regular,92.49324522,110.935123,129.1499061,0
188/SRGO_01,103.2715909,103.7729093,104.0007813,0
188/SRGO_02,117.606264,108.6487696,102.917226,0
188/SRGO_03,106.4057648,103.2327269,113.9144802,60.23927543
188/SRGO_04,125.795053,124.3261969,134.7467609,0
188/SRGO_regular,86.7964452,102.5100671,132.5167173,0
