,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90
1,up,14.68332599,100,100,48.53668872,100,100,1.44E-08,687.8541093,3.27801E+13
2,up,0.157432446,1.393358705,9.40037166,0.242078433,2.863687916,25.37900549,0.000537304,58.55513302,6381311.557
3,up,0.217300398,2.209572632,16.55446074,0.345002622,4.720751123,47.63922872,0.00121055,49.1959714,1999292.003
4,up,0.013724517,0.020494654,0.046918568,0.014629191,0.02514901,100,0.002905952,0.009386209,0.030317402
5,up,12.71509501,22.1396197,32.19857371,14.45783673,25.68642247,38.41272319,11.84382785,51.74565713,226.0766591
6,up,100,100,100,100,100,100,1.81E-106,7.57E-20,3.16E+67
7,up,0.01315536,0.020163472,100,0.013956895,0.028625224,100,0.004205788,0.009331928,0.020705959
8,up,0.016036204,100,100,0.019214649,100,100,0.003529309,0.007445597,0.015707583
9,up,0.021487535,100,100,0.060553173,100,100,0.003011342,0.006786889,0.015296123
10,up,44.75983732,57.46900805,68.20008295,47.41860863,61.48607666,74.02665346,42.28335579,80.9751432,155.0722192
11,up,0.26048895,0.525932321,0.87998547,0.305235643,0.641572069,100,0.177360877,1.032398076,6.009475163
12,up,0.042141532,0.167354013,0.735569646,0.054236017,0.281728296,1.877612678,0.000106256,0.070843605,47.23328925
13,up,0.016088583,100,100,0.018695329,100,100,0.003350892,0.007807729,0.018192357
14,up,0.140462671,100,100,0.316481332,100,100,1.98E-05,0.002485055,0.311723396
15,up,0.185064338,0.347059968,0.53999156,0.2136205,0.412703531,0.67010723,0.14733246,0.762028618,3.941342006
16,up,1.916627857,5.782843692,100,2.447820929,8.024723541,100,0.835337065,10.67181831,136.3374268
17,up,0.492516763,1.655388102,4.003565367,0.646427501,2.332525205,6.229860916,0.256584423,6.470310378,163.1623458
18,up,100,100,100,100,100,100,0.002119779,0.005608054,0.014836581
19,up,0.792993979,1.899560286,3.411919433,0.970931866,2.398185258,4.483283619,0.755700651,8.116629998,87.17695615
20,up,0.878251192,1.038968769,1.202717411,0.910748855,1.095190404,1.323305943,0.754183868,1.087688262,1.568670197
21,up,100,100,100,100,100,100,8.48E-14,0.00014759,256810.1088
22,up,0.01493825,100,100,0.017131985,100,100,0.003970032,0.007869184,0.015597873
23,up,0.454048786,100,100,0.868212939,100,100,1.98E-06,2.985498361,4509541.922
24,up,0.015770047,0.025205145,0.044065319,0.017136836,0.030427445,0.066108894,0.001931919,0.014256586,0.105206427
25,up,2.127254545,3.533233714,5.037985252,2.389006501,4.061145615,5.986488843,1.794768779,6.76189691,25.47584422
