,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,log_pod
1,down,0.78911429,1.019813921,1.213363182,0.837503392,1.09241832,1.317817412,0.755383888,1.467427912,2.850662707,-0.102860092
2,down,0.880986482,1.051932636,1.193071651,0.917395257,1.104859383,1.270095538,0.818667782,1.28062967,2.003269686,-0.055030756
3,up,100,100,100,100,100,100,1.13E-24,30058.52298,7.99E+32,2
4,down,0.721072968,88.50374807,100,1.652756936,100,100,4.78E-17,9.76E-05,199220850,-0.142020785
5,up,0.044505863,0.191177769,0.972470234,0.057939699,0.335698725,2.877555393,8.66E-05,0.056050457,36.25754442,-1.351582776
6,down,44.71014427,50.34091836,54.3552618,45.95679244,51.92792472,56.23254836,48.87569769,71.15092314,103.5781401,1.650406071
7,up,0.093996738,0.668745517,4.041105646,0.13691015,1.310821704,10.42184055,1.73E-05,55.86553112,180012491.7,-1.026887219
8,up,0.056868792,0.245568632,0.878152277,0.075676587,0.398752332,1.66868671,0.002026095,1045.06577,539047977.4,-1.245125998
9,up,100,100,100,100,100,100,3.45E-24,3.12E-06,2.82358E+12,2
10,down,37.12440662,43.17881982,47.5682038,38.45535277,44.90654974,49.64250908,41.88733401,67.02690635,107.2545265,1.569659521
11,up,11.29971062,23.97701834,41.8201678,13.37904987,29.70762285,55.67962065,7.260445394,48.57545599,324.9903824,1.053067321
12,down,0.02010617,100,100,0.03620181,100,100,0.003303118,0.007219975,0.015781465,-1.696670653
13,down,28.69009294,34.42148779,38.51903792,29.9675498,36.03554564,40.45712137,33.26066191,55.64124227,93.08136593,1.457731955
14,up,57.76081501,72.660224,87.56187625,60.73308407,77.87777924,97.54561915,47.56506109,81.63105795,140.0950502,1.761633313
15,down,45.67085078,52.28442709,56.84385051,47.16630502,54.09843967,58.94613613,52.22202104,77.57016205,115.2220829,1.659639102
16,down,0.94039201,1.161488797,1.325086099,0.988867343,1.225384292,1.404086265,1.087823325,1.977634384,3.595287644,-0.02669107
17,down,6.465662551,10.11765425,13.32095776,7.197987427,11.31948757,15.0120747,9.728132869,34.70946476,123.8415388,0.810613035
18,down,38.14353963,44.18938806,48.42485382,39.50195548,45.86698844,50.40082045,43.12909738,66.00944514,101.0280092,1.581420992
19,down,0.014359609,100,100,0.015925522,100,100,0.004226453,0.008475094,0.01699468,-1.842857398
20,down,0.015033721,100,100,0.0168553,100,100,0.004114642,0.008786433,0.018762607,-1.822933502
21,up,41.9372934,100,100,100,100,100,0.092575363,2168.599632,50799956,1.622600398
22,down,3.083063801,3.419469399,3.652184961,3.15906804,3.511915388,3.760080351,3.293295923,4.467745016,6.061023969,0.488982512
23,up,1.299266225,34.98311978,100,2.504064344,100,100,0.003125527,77.30798085,1912165.478,0.113698149
24,up,0.571005126,7.942611614,82.91048843,0.972957714,18.85915474,100,0.00649738,30.39440959,142183.4767,-0.243359993
25,down,39.45938235,45.78539416,50.40841139,40.84100232,47.60352909,52.59471375,44.85335341,72.49776103,117.1802096,1.596150283
26,up,0.04514378,0.165058657,0.522775157,0.058014632,0.25528641,0.941865181,0.00060824,133.6829169,29381702.45,-1.34540208
27,up,0.028823318,0.078132391,0.222416119,0.034633568,0.113289247,0.422925781,0.000362042,0.049208401,6.688358943,-1.540256027
28,up,0.026805089,0.077203083,0.307933443,0.032201262,0.120594782,1.014865856,0.000311377,0.017111846,0.940387752,-1.571782748
29,up,1.049259036,100,100,2.726834116,100,100,5.33E-09,0.008411431,13275.28261,0.020882718
