1% DMSO,dose_0.01
DMSO 1,98.80529965
DMSO 2,84.17591718
DMSO 3,82.87704678
DMSO 4,87.5939972
DMSO 5,91.51339562
DMSO 6,91.37667242
DMSO 7,97.32413164
DMSO 8,98.89644845
DMSO 9,106.8719685
DMSO 10,98.37234285
DMSO 11,103.8640581
DMSO 12,105.1401413
DMSO 13,102.4284645
DMSO 14,100.0813829
DMSO 15,108.5126469
DMSO 16,106.0288421
DMSO 17,101.4714021
DMSO 18,99.16989485
DMSO 19,102.9069957
DMSO 20,100.4231909
DMSO 21,104.4337381
DMSO 22,108.3075621
DMSO 23,106.0060549
DMSO 24,106.2567141
DMSO 25,102.4284645
DMSO 26,104.1375045
DMSO 27,102.3828901
DMSO 28,98.21283245
DMSO 29,84.5950783
DMSO 30,86.56823266
DMSO 31,99.75391499
DMSO 32,106.2058166
DMSO 33,91.42281879
DMSO 34,100.5682327
DMSO 35,103.3557047
DMSO 36,109.0872483
DMSO 37,85.53467562
DMSO 38,97.81208054
DMSO 39,104.98434
DMSO 40,110.8411633
DMSO 41,99.56599553
DMSO 42,101.6331096
DMSO 43,102.7293065
DMSO 44,105.8612975
DMSO 45,90.70246085
DMSO 46,101.9463087
DMSO 47,96.99776286
DMSO 48,105.5480984
DMSO 49,96.08948546
DMSO 50,99.44071588
DMSO 51,98.12527964
DMSO 52,108.8993289
DMSO 53,95.49440716
DMSO 54,103.950783
DMSO 55,105.360179
DMSO 56,106.9261745
DMSO 57,82.52320522
DMSO 58,81.55433871
DMSO 59,103.4265002
DMSO 60,103.6929385
DMSO 61,100.3745707
DMSO 62,99.62369917
DMSO 63,102.0216438
DMSO 64,103.1358403
DMSO 65,90.22569399
DMSO 66,100.6894523
DMSO 67,99.5994775
DMSO 68,99.8659158
DMSO 69,94.39182
DMSO 70,100.7378957
DMSO 71,101.4645455
DMSO 72,107.5199612
DMSO 73,103.9109335
DMSO 74,105.8244448
DMSO 75,97.05620291
DMSO 76,98.26728605
DMSO 77,101.6340972
DMSO 78,106.4784297
DMSO 79,99.98702411
DMSO 80,100.5925657
DMSO 81,103.4507219
DMSO 82,105.3642333
DMSO 83,100.3745707
DMSO 84,106.2119915
DMSO 85,93.03679069
DMSO 86,91.17993487
DMSO 87,99.74364304
DMSO 88,100.1870713
DMSO 89,93.6742188
DMSO 90,103.2356405
DMSO 91,99.60507171
DMSO 92,103.5404975
DMSO 93,100.3810712
DMSO 94,94.36707545
DMSO 95,102.4042126
DMSO 96,97.24935911
DMSO 97,94.14536132
DMSO 98,98.66278667
DMSO 99,111.6053489
DMSO 100,104.2610684
DMSO 101,98.41335828
DMSO 102,100.9076422
DMSO 103,100.1039285
DMSO 104,104.538211
DMSO 105,102.348784
DMSO 106,92.56564817
DMSO 107,108.4459225
DMSO 108,107.559066
DMSO 109,97.16621631
DMSO 110,95.33707476
DMSO 111,102.2102127
DMSO 112,103.1247835
