,dose_1000x,dose_100x,dose_10x,dose_1x
092/OLBO_01,92.94703283,111.3485094,109.5475138,0
092/OLBO_02,115.8096101,113.7811987,127.9800781,161.3220895
092/OLBO_03,109.0427294,115.3693276,120.2384896,161.7422988
092/OLBO_04,102.1419337,111.8930314,125.361939,161.3986047
092/OLBO_regular,83.55053415,101.895976,120.205366,156.8654856
120/gasoline_01,101.8737066,100.6208401,111.1396983,125.2605478
120/gasoline_02,117.5210821,115.4609769,127.6948328,126.2369121
120/gasoline_03,110.765154,129.347466,126.7307055,131.3348791
120/gasoline_04,108.2730587,117.6980328,114.8933692,118.0893812
120/gasoline_regular,91.51145664,102.4664667,107.4859225,131.5256764
175/VHGO_01,102.8133565,115.7596435,0,0
175/VHGO_02,114.2883015,127.0609542,0,0
175/VHGO_03,120.4372309,125.1407751,0,2.285525008
175/VHGO_04,114.9912063,128.3296644,0,0
175/VHGO_regular,82.71528982,106.6500651,0,0
188/SRGO_01,101.0645636,110.8264817,171.3294927,0
188/SRGO_02,120.5320052,124.0817251,167.3439357,9.79342351
188/SRGO_03,114.1106327,121.4971845,200.5299768,16.82676383
188/SRGO_04,109.903677,110.9146604,181.5204351,5.837613707
188/SRGO_regular,85.95186159,117.4576943,245.4455118,0
134/HFO_01,114.0108507,0,0,0
134/HFO_02,114.6686287,163.4455827,3.201086649,0
134/HFO_03,120.1391189,166.3133488,0,0
134/HFO_04,114.4367961,180.5094518,0,0
134/HFO_regular,89.91927214,0,0,0
