,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
1,up,17.76980225,22.61750628,26.26331425,18.81404898,24.0419598,28.01129262,24.96592804,52.83074765,111.7958801,1.249682595
2,up,49.82513132,66.47630272,81.90753038,53.17362572,72.09082763,90.94011116,43.07083679,91.14962546,192.8974415,1.697448452
3,up,22.049903,84.76575757,100,29.82045841,100,100,9.719279907,285.8345116,8406.113295,1.343406683
4,down,1.034775436,2.196879143,3.480793216,1.238819469,2.652322813,4.242494681,2.783076943,26.17609634,246.1980153,0.014846111
5,up,8.001438789,12.02559951,15.4981568,8.812023258,13.33588522,17.30426689,12.33272479,42.0603174,143.4452101,0.903168087
6,down,41.852855,47.79134268,51.92712005,43.18266831,49.43607563,53.83157306,49.04450389,74.02116308,111.7175656,1.621725089
7,up,2.255809825,3.046597281,100,2.386026926,3.51351674,100,1.613970516,2.577156667,4.115153543,0.353302484
8,down,38.30939773,43.06704948,46.332321,39.38536802,44.36850504,47.83038194,43.08836306,61.2535073,87.07669288,1.583305324
9,up,10.82221434,22.52103624,37.87286041,12.78797477,27.59027302,48.94841161,8.02267864,53.15940469,352.2417429,1.034316131
10,down,2.769307784,3.123587818,3.369157527,2.849030947,3.22123883,3.482464396,3.097157328,4.456639552,6.41285992,0.442371226
11,up,1.196275978,1.367246669,1.535588216,1.23126628,1.42574932,1.655285748,1.057651425,1.420201442,1.907029185,0.077831382
12,up,100,100,100,100,100,100,1.32E-31,19319.17457,2.82E+39,2
13,down,35.71221785,42.57620834,47.5759616,37.21705402,44.54267855,49.94082293,42.59532755,73.39722059,126.4728387,1.552816822
14,up,7.609186173,10.1912247,12.34252652,8.14549578,11.00498633,13.46763368,8.008536282,18.21259271,41.41812206,0.88133821
15,down,2.631042145,2.9458683,3.160796148,2.702512809,3.03159564,3.259295928,2.928544349,4.093413118,5.721624452,0.420127805
16,down,2.300965033,2.609951529,2.820901843,2.371219097,2.694045132,2.917752565,2.600183287,3.746858554,5.399215159,0.361910019
17,down,2.612344281,2.937354767,3.157683556,2.68649609,3.025330808,3.258449517,2.927290555,4.112595678,5.777849137,0.417030412
18,down,2.935217485,3.261927143,3.484304856,3.009457357,3.350702539,3.585995668,3.241910645,4.44117246,6.084070468,0.467640286
19,up,3.043302966,6.339955032,11.15159273,3.583089191,7.854095739,15.1440029,1.815474285,10.67165153,62.72969405,0.483345189
20,down,0.023190408,100,100,0.056225531,100,100,0.001845949,0.004900699,0.013010574,-1.634691604
21,down,33.68620912,40.27767191,44.92052762,35.15803667,42.11756892,47.07746166,42.52934663,72.23275346,122.681656,1.52745214
22,down,0.090340486,0.105345939,0.115925991,0.093698601,0.109531662,0.120873123,0.103233714,0.161671233,0.253188484,-1.044117576
23,up,7.167594009,8.580437459,9.715985098,7.469206844,9.011605619,10.31115438,6.846847424,11.10408519,18.00839134,0.855373398
24,down,100,100,100,100,100,100,5.07E-214,2.84E-29,1.59E+156,2
25,down,3.1494799,3.496957736,3.732135576,3.228713558,3.590942736,3.839432501,3.480323183,4.740272711,6.456350227,0.498238841
26,up,27.52565232,46.72040784,68.71764129,31.01600059,54.24359872,83.58548159,20.77196152,79.54438852,304.6081969,1.43973762
27,down,2.737744367,3.02927402,3.224240499,2.804704922,3.107364142,3.312759644,3.020452631,4.048415195,5.426228316,0.437392894
28,up,7.298676596,10.53873942,13.18732564,7.967618126,11.5531844,14.51549317,13.04987179,40.03312156,122.8096986,0.863244121
29,up,5.39740891,8.277188658,10.77196838,5.974643212,9.218878223,12.06561353,9.786842196,36.22032711,134.0485592,0.732185322
