,dose_0.1,dose_0.5,dose_1,dose_10,dose_50
ISO_P1_1,94.87853534,123.5639577,129.7238846,127.8184835,114.3240673
ISO_P1_2,89.78876522,117.5606391,114.4806757,118.1218189,110.4610623
ISO_P2_1,125.5079518,153.9690984,152.4794838,156.2986021,137.3614806
ISO_P2_2,104.1462448,135.3964571,138.0904409,138.2647575,121.2292716
ISO_P3_1,125.074528,155.7138125,165.3527658,161.5104339,18.15170586
ISO_P3_2,110.9970189,155.382577,150.8446505,150.4637297,119.1785359
ISO_P4_1,119.230814,154.1260468,158.5287164,152.5117346,22.24163435
ISO_P4_2,113.8171611,146.7882642,154.0934344,153.2129005,61.3112501
PRO_P1_1,72.11812741,68.5944404,64.96634786,0,15.19100621
PRO_P1_2,70.03001659,65.93209911,64.86194232,0,28.71152376
PRO_P2_1,0,84.84464316,88.01403588,0,39.11030619
PRO_P2_2,82.02388364,79.72607391,72.26215406,10.04697493,0
PRO_P3_1,93.73964889,97.41636303,84.2994369,0,23.08711494
PRO_P3_2,90.06293475,89.31765485,87.87678039,0,20.07287181
PRO_P4_1,94.28235322,87.87402308,84.66170493,0,0
PRO_P4_2,90.79282994,85.91728106,80.45470958,59.48495755,0
CIS_P1_1,40.91392136,51.65464139,100.5686373,82.50647874,114.7938923
CIS_P1_2,30.96929358,101.2733747,87.85726271,56.27458657,49.38382087
CIS_P2_1,39.87096044,70.58237591,140.3724036,112.354972,93.14845209
CIS_P2_2,46.90701228,66.96926821,98.09270474,80.94629011,75.87526176
CIS_P3_1,47.13481285,109.5727062,138.0589599,83.10698907,107.154687
CIS_P3_2,48.80755217,128.7843657,140.1126201,117.4229877,77.24412057
CIS_P4_1,38.30322513,73.99746089,160.4854584,135.3739357,117.9915441
CIS_P4_2,41.74382986,69.3338924,128.9492994,89.32527342,83.12892368
SOT_P1_1,72.87506758,74.98927979,75.6679158,51.39362753,39.80461249
SOT_P2_1,85.19327636,83.27579376,76.38236459,46.01958232,71.21625446
SOT_P3_1,91.85160649,89.58264326,85.78999669,56.40940709,50.77840344
SOT_P4_1,92.22777409,91.07003506,86.52060985,58.2456876,68.15984719
