,dose_1000x,dose_100x,dose_10x,dose_1x
016/kerosine,78.93058896,89.97905937,100.3312355,219.0572696
118/OLBO,79.50481943,94.19435169,95.9589268,120.8940447
"1,2,4-Trimethylbenzene",81.77563995,98.09270474,106.9228221,110.1971883
187(2)/OGO,89.05792643,97.33205048,64.12719444,0
043/kerosine,82.87189813,99.86756466,107.5852931,189.6409145
017/HFO,86.16067267,105.0653687,146.7704538,0
Pentadecane,82.87189813,99.3287679,118.4829414,111.3712336
181/VHGO,84.75119787,99.04352255,134.4484929,0
151/OLBO,89.08402782,100.2478918,104.9354091,125.9163493
135/TDAE,92.16399127,134.5090271,0,0
Benz(a)anthracene,84.20306878,101.5156489,134.0510103,114.2411219
136/slackwax,81.5146261,92.70473711,101.4905598,112.0560933
006/HFO,82.55868151,105.0970627,155.5481948,17.21932982
108/OLBO,90.93722617,95.46210878,109.9370653,158.5939411
082/UATO,91.01553032,117.4576943,0,0
104/kerosine,83.26341891,106.3331258,0,0
180/VHGO,84.56848817,105.0336748,0,0
164/HFO,90.44129985,124.0817251,0,0
Dibenzothiophene,83.68104107,103.3538967,114.2100033,128.4601139
191/BITUMEN,80.10515129,95.14516951,103.4779728,97.51097756
041/CGO,83.52443276,94.95500594,116.1974164,0
195/UDAE,91.82467327,0,5.730374296,11.44694084
009/gasoline,81.90614688,97.26866263,116.7936403,144.1140501
119/OLBO,80.02684714,96.76155979,101.5899304,104.033451
184/VHGO,87.30913362,118.028185,0,0
060/OLBO,84.22917016,97.90254117,101.0599536,120.82882
155/HFO,82.34987043,105.9527987,0,0
128/kerosine,92.1117885,97.68068368,109.4070884,230.6672723
059/dieselfuel,86.52609206,94.76484238,114.1106327,214.1328022
096A/UDAE,89.86706937,134.4456393,13.24942034,0
129/HFO,91.69416634,115.4926708,4.902285525,0
021/HFO,91.17213864,130.9910012,0,0
080/HFO,82.66308705,103.1003452,0,0
"1,2,4,5-Tetramethylbenzene",88.01387102,94.22604562,106.2603511,100.837439
187(1)/OGO,84.22917016,103.3855906,244.4849288,0
079/HFO,87.8833641,97.90254117,138.423319,0
083/UATO,86.21287544,113.2424019,10.79827758,0
067/P&Hwax,92.4772079,94.6697606,106.6578337,103.3159789
063/P&Hwax,80.41836792,94.51129096,98.90692282,102.6637316
090/FO,79.50481943,95.77904805,96.091421,100.4134782
081/OLBO,78.5129668,96.09598732,107.9165287,150.5712988
154/OLBO,80.73158454,97.01511121,102.5505134,100.3482535
127/slackwax,85.14271865,98.37795008,94.17025505,110.4580873
Phenanthrene,84.15086601,98.82166506,110.4670421,123.8291578
1-Methylnaphthalene,86.57829483,102.1812213,105.233521,129.9928952
188/SRGO,85.95186159,117.4576943,245.4455118,0
Pyrene,98.42832373,103.3855906,110.765154,0
Fluoranthene,87.17862669,100.6282189,110.3014243,0
074/OLBO,87.54404609,102.3713849,114.8393508,219.5790675
091/HFO,88.74470981,122.1483955,0,0
008/HFO,96.75783508,183.4444507,0,0
166/HFO,82.55868151,104.082857,169.3275919,0
103/gasoline,87.38743778,100.1211161,101.4905598,116.1000268
071/HFO,82.71528982,118.3451242,0,37.1454861
093/petrolatum,88.82301396,98.94844077,105.8297449,116.1326392
190/BITUMENS,85.53423942,102.1178335,107.6515402,127.4165182
089/UDAE,93.20804668,154.6663648,0,0
085B/OLBO,79.97464437,109.3757428,135.2765816,143.7227017
050/HFO,87.49184332,116.9505914,105.0347797,0
115/OLBO,77.49501277,92.2293282,98.1782047,95.3911737
169/SRGO,78.25195294,103.4806724,0,0
179/VHGO,86.94371423,109.724376,175.3560782,0
Naphthalene,85.48203665,99.36046183,112.4544551,113.9802229
145/HRBO,86.36948375,101.6741185,102.1199073,110.0341265
076/gasoline,87.36133639,107.4107193,121.8615436,0
Propylbenzene,90.65011093,102.339691,107.5521696,115.8065155
141/gasoline,87.10032254,106.1429623,120.5697251,0
036/OLBO,95.42666443,101.5156489,160.2186154,0
