,dose_1000x,dose_100x,dose_10x,dose_1x
016/kerosine,94.16014912,105.3054911,90.59916301,108.6993971
118/OLBO,107.073541,113.7200309,103.4030826,102.3830032
"1,2,4-Trimethylbenzene",94.75201291,106.2335654,89.9703991,103.7611255
187(2)/OGO,101.0472915,112.1732405,95.17199143,12.69020959
043/kerosine,100.5092335,113.5344161,91.85669082,89.52052828
017/HFO,102.769077,109.8221191,104.3748086,18.37496411
Pentadecane,106.5892888,111.2451663,87.68398489,89.40568475
181/VHGO,100.5092335,102.8306265,101.4024701,13.09216193
151/OLBO,95.7743231,101.0982212,96.77248137,87.166236
135/TDAE,108.7415208,102.8306265,24.40747168,88.31467126
Benz(a)anthracene,100.5092335,113.4725445,97.85852812,101.464255
136/slackwax,99.21789427,95.28228925,113.5776258,94.86075223
006/HFO,99.48692327,113.5962877,105.5751761,46.79873672
108/OLBO,100.7244567,101.6550657,108.0902317,86.41975309
082/UATO,94.48298392,95.90100541,95.91507604,44.27217916
104/kerosine,98.84125368,106.9760247,31.09523323,29.39994258
180/VHGO,98.94886527,111.3689095,55.27406349,5.569910996
164/HFO,105.9436192,98.19025522,119.6366235,28.53861614
Dibenzothiophene,93.40686793,118.2366589,88.25558845,105.0244042
191/BITUMEN,99.00267107,98.93271462,98.31581096,99.33964973
041/CGO,93.35306213,111.9257541,99.57333878,88.7166236
195/UDAE,92.00791714,109.0796597,12.34663673,27.39018088
009/gasoline,96.79663329,103.8205723,92.99989793,104.3353431
119/OLBO,104.7598916,91.3225058,102.8886394,105.0244042
184/VHGO,101.96199,111.5545244,99.45901807,20.04019523
060/OLBO,106.535483,111.9876257,97.68704706,96.12403101
155/HFO,95.8819347,103.1399845,22.00673676,27.16049383
128/kerosine,96.90424489,106.295437,92.77125651,98.47832328
059/dieselfuel,95.8819347,100.2938902,95.11483107,98.7654321
096A/UDAE,101.0472915,95.77726218,18.97723793,73.27016939
129/HFO,100.5630393,103.6349575,21.03501072,63.04909561
021/HFO,97.87274928,111.5545244,16.17638052,37.03703704
