"","direction","pod.sd1","pod.sd2","pod.sd3","pod.sd.upper1","pod.sd.upper2","pod.sd.upper3","EC10","EC50","EC90"
"1","up",100,100,100,100,100,100,3.95241231977926e-71,2.7691673732487e-13,1.94015384040032e+45
"2","up",100,100,100,100,100,100,0.00142102538657544,0.0047020267292782,0.0155585224385946
"3","down",100,100,100,100,100,100,1.96310334562043e-76,342218663672544,5.96573858564779e+104
"4","down",12.15854229813,16.802201908572,20.7051883996358,13.1162714511363,18.2773981899853,22.744546402585,13.5618008360107,33.9999191384912,85.2390117951316
"5","down",43.4917060325056,100,100,58.3051963466246,100,100,10.885511897596,187.832714768221,3241.10883062756
"6","down",38.4233684972682,45.273565761643,50.3540356046529,39.9270777995384,47.2535916952395,52.8284641830811,40.3554579502369,64.3095065809779,102.48211386397
"7","down",12.8236243404453,89.2193984111848,100,17.6962623223656,100,100,1.78143166170458,19.6106887638661,215.882047041443
"8","down",29.3306394599352,36.1247275409457,41.2839084886565,30.8038115077749,38.1249405145919,43.8246026073944,31.9502661013256,57.7178311732705,104.266675738514
"9","down",27.0340872100728,100,100,39.7883350227678,100,100,5.00779910449763,228.780470861804,10451.7978368462
"10","down",1.98479854445891,2.28563834739207,2.54436233130009,2.04843418021252,2.38088502119177,2.69476008804498,1.80804479312995,2.54107092770819,3.57128401031803
"11","up",100,100,100,100,100,100,1.11155543170442e-30,4.07567902823244e-07,149440676257621088
"12","up",100,100,100,100,100,100,1.09283351079571e-80,7.31049626220678e-15,4.8903474382688e+51
"13","down",39.341002114469,48.8689423067282,56.6545123446811,41.356297994434,51.8150944099476,60.7593346334259,37.8953504890003,67.9550065508211,121.858825838345
"14","down",100,100,100,100,100,100,1.33037291210622e-23,620.949225128285,2.89826962559675e+28
"15","down",14.048134269174,22.3916040800726,30.5287157899046,15.6596653468322,25.33641720392,35.2595769670981,13.9282266344523,48.5771800569722,169.421598615472
"16","down",4.52310613867546,5.0413307958811,5.42134861708,4.63833974725379,5.1892677094621,5.60830020468938,4.49534318066432,6.02842130482376,8.08433571540637
"17","down",5.47560591677647,6.67068296010687,7.57611227993182,5.73516398120931,7.02179905416554,8.02206948223444,5.86495208021012,10.2679025811997,17.976246348671
"18","down",44.5944843591804,51.7109187122692,57.0174888158459,46.1564551721567,53.7734571253139,59.62579801079,45.3640086493772,68.7169786039361,104.091840404819
"19","up",100,100,100,100,100,100,3.48144621360552e-57,5.75592311462329e-09,9.51634719272126e+39
"20","down",100,100,100,100,100,100,1.59341630760901e-54,4768637645.71333,1.4271163717558e+73
"21","down",100,100,100,100,100,100,1.37545437014445e-21,204.761647477697,3.0482532309216e+25
"22","down",2.1533165229335,2.40588277368436,2.58734742899815,2.20984501476548,2.47700766517265,2.67486148957999,2.18402553475821,2.96348438824168,4.02112501872576
"23","up",100,100,100,100,100,100,0,9.85262244391891e-130,Inf
"24","up",100,100,100,100,100,100,9.52547223135611e-52,2.45834701090097e-10,6.34453587100049e+31
"25","down",22.5931770224179,29.1249221035275,34.34907446428,23.9760571850016,31.1226929988613,37.0101029986716,24.1473222333548,49.4415854756182,101.231529969245
"26","up",100,100,100,100,100,100,1.13718943410979e-107,2.34288936738019e-19,4.82692717953405e+69
"27","down",2.22494637825277,2.51620687674995,2.72943427663273,2.28966243663073,2.59932552037557,2.83378740602304,2.23737490732276,3.12792434005388,4.37294198888148
"28","down",100,100,100,100,100,100,4.20987894965014e-33,75637.0963717065,1.35893939373677e+42
"29","down",100,100,100,100,100,100,2.78196189665369e-27,3268.63661845297,3.84044992001609e+33
"30","down",1.12406790760165,1.33391022010285,1.50568964828745,1.16887142785356,1.3985239942179,1.59860888469414,1.04982957278291,1.62345741068921,2.51051602341051
"31","down",1.9922385216944,2.24204811859225,2.43411053893588,2.04696122392657,2.31563157656747,2.53309975158737,1.92031422669839,2.60995810977005,3.54727431586349
