1% DMSO,dose_0.01
DMSO 1,84.69032841
DMSO 2,97.44230289
DMSO 3,93.56828532
DMSO 4,97.44230289
DMSO 5,98.73364208
DMSO 6,94.05253752
DMSO 7,99.16408847
DMSO 8,94.91343031
DMSO 9,111.7546456
DMSO 10,104.921309
DMSO 11,97.38849709
DMSO 12,103.4147466
DMSO 13,95.34387671
DMSO 14,105.2441438
DMSO 15,104.7598916
DMSO 16,107.073541
DMSO 17,105.728396
DMSO 18,96.2047695
DMSO 19,94.59059551
DMSO 20,98.19558408
DMSO 21,103.5223582
DMSO 22,110.1404716
DMSO 23,87.16539518
DMSO 24,97.98036088
DMSO 25,113.0997905
DMSO 26,105.2979496
DMSO 27,100.3478161
DMSO 28,97.81894348
DMSO 29,96.45784996
DMSO 30,105.1817479
DMSO 31,103.7587007
DMSO 32,98.1283836
DMSO 33,96.82907966
DMSO 34,109.8839907
DMSO 35,95.90100541
DMSO 36,102.4593968
DMSO 37,102.2119103
DMSO 38,98.1283836
DMSO 39,81.42304718
DMSO 40,99.79891725
DMSO 41,101.283836
DMSO 42,107.4709977
DMSO 43,96.33410673
DMSO 44,97.20030936
DMSO 45,115.0193349
DMSO 46,110.7501933
DMSO 47,85.19721578
DMSO 48,99.36581593
DMSO 49,105.9242073
DMSO 50,103.0162413
DMSO 51,90.82753287
DMSO 52,81.73240526
DMSO 53,101.9025522
DMSO 54,107.904099
DMSO 55,105.6148492
DMSO 56,100.2938902
DMSO 57,103.631724
DMSO 58,96.31519853
DMSO 59,96.08655711
DMSO 60,100.259263
DMSO 61,78.4811677
DMSO 62,105.7466571
DMSO 63,106.7183832
DMSO 64,98.71593345
DMSO 65,96.42951924
DMSO 66,107.4614678
DMSO 67,101.0023477
DMSO 68,93.22853935
DMSO 69,103.4602429
DMSO 70,103.0029601
DMSO 71,95.91507604
DMSO 72,103.2316015
DMSO 73,86.76941921
DMSO 74,94.48606716
DMSO 75,108.776156
DMSO 76,98.48729203
DMSO 77,97.28692457
DMSO 78,92.99989793
DMSO 79,107.0613453
DMSO 80,99.74481984
DMSO 81,105.0035725
DMSO 82,105.8609779
DMSO 83,103.9175258
DMSO 84,109.9193631
DMSO 85,85.67327017
DMSO 86,75.45219638
DMSO 87,92.44903819
DMSO 88,97.27246626
DMSO 89,98.47832328
DMSO 90,97.84668389
DMSO 91,98.88027562
DMSO 92,99.51191502
DMSO 93,98.306058
DMSO 94,106.5747918
DMSO 95,114.039621
DMSO 96,94.11426931
DMSO 97,104.2204996
DMSO 98,100.2583979
DMSO 99,98.59316681
DMSO 100,105.8857307
DMSO 101,100.0287109
DMSO 102,101.0048808
DMSO 103,101.8662073
DMSO 104,103.9908125
DMSO 105,97.90410566
DMSO 106,101.693942
DMSO 107,101.2919897
DMSO 108,96.35371806
DMSO 109,107.1490095
DMSO 110,108.3548665
DMSO 111,96.7556704
DMSO 112,116.0493827
