Entity_id,Phenotype,control_id,control_value
1,Cardio_peak_freq_24hr,1,98.80529965
2,Cardio_peak_freq_24hr,2,84.17591718
3,Cardio_peak_freq_24hr,3,82.87704678
4,Cardio_peak_freq_24hr,4,87.5939972
5,Cardio_peak_freq_24hr,5,91.51339562
6,Cardio_peak_freq_24hr,6,91.37667242
7,Cardio_peak_freq_24hr,7,97.32413164
8,Cardio_peak_freq_24hr,8,98.89644845
9,Cardio_peak_freq_24hr,9,106.8719685
10,Cardio_peak_freq_24hr,10,98.37234285
11,Cardio_peak_freq_24hr,11,103.8640581
12,Cardio_peak_freq_24hr,12,105.1401413
13,Cardio_peak_freq_24hr,13,102.4284645
14,Cardio_peak_freq_24hr,14,100.0813829
15,Cardio_peak_freq_24hr,15,108.5126469
16,Cardio_peak_freq_24hr,16,106.0288421
17,Cardio_peak_freq_24hr,17,101.4714021
18,Cardio_peak_freq_24hr,18,99.16989485
19,Cardio_peak_freq_24hr,19,102.9069957
20,Cardio_peak_freq_24hr,20,100.4231909
21,Cardio_peak_freq_24hr,21,104.4337381
22,Cardio_peak_freq_24hr,22,108.3075621
23,Cardio_peak_freq_24hr,23,106.0060549
24,Cardio_peak_freq_24hr,24,106.2567141
25,Cardio_peak_freq_24hr,25,102.4284645
26,Cardio_peak_freq_24hr,26,104.1375045
27,Cardio_peak_freq_24hr,27,102.3828901
28,Cardio_peak_freq_24hr,28,98.21283245
29,Cardio_peak_freq_24hr,29,84.5950783
30,Cardio_peak_freq_24hr,30,86.56823266
31,Cardio_peak_freq_24hr,31,99.75391499
32,Cardio_peak_freq_24hr,32,106.2058166
33,Cardio_peak_freq_24hr,33,91.42281879
34,Cardio_peak_freq_24hr,34,100.5682327
35,Cardio_peak_freq_24hr,35,103.3557047
36,Cardio_peak_freq_24hr,36,109.0872483
37,Cardio_peak_freq_24hr,37,85.53467562
38,Cardio_peak_freq_24hr,38,97.81208054
39,Cardio_peak_freq_24hr,39,104.98434
40,Cardio_peak_freq_24hr,40,110.8411633
41,Cardio_peak_freq_24hr,41,99.56599553
42,Cardio_peak_freq_24hr,42,101.6331096
43,Cardio_peak_freq_24hr,43,102.7293065
44,Cardio_peak_freq_24hr,44,105.8612975
45,Cardio_peak_freq_24hr,45,90.70246085
46,Cardio_peak_freq_24hr,46,101.9463087
47,Cardio_peak_freq_24hr,47,96.99776286
48,Cardio_peak_freq_24hr,48,105.5480984
49,Cardio_peak_freq_24hr,49,96.08948546
50,Cardio_peak_freq_24hr,50,99.44071588
51,Cardio_peak_freq_24hr,51,98.12527964
52,Cardio_peak_freq_24hr,52,108.8993289
53,Cardio_peak_freq_24hr,53,95.49440716
54,Cardio_peak_freq_24hr,54,103.950783
55,Cardio_peak_freq_24hr,55,105.360179
56,Cardio_peak_freq_24hr,56,106.9261745
57,Cardio_peak_freq_24hr,57,82.52320522
58,Cardio_peak_freq_24hr,58,81.55433871
59,Cardio_peak_freq_24hr,59,103.4265002
60,Cardio_peak_freq_24hr,60,103.6929385
61,Cardio_peak_freq_24hr,61,100.3745707
62,Cardio_peak_freq_24hr,62,99.62369917
63,Cardio_peak_freq_24hr,63,102.0216438
64,Cardio_peak_freq_24hr,64,103.1358403
65,Cardio_peak_freq_24hr,65,90.22569399
66,Cardio_peak_freq_24hr,66,100.6894523
67,Cardio_peak_freq_24hr,67,99.5994775
68,Cardio_peak_freq_24hr,68,99.8659158
69,Cardio_peak_freq_24hr,69,94.39182
70,Cardio_peak_freq_24hr,70,100.7378957
71,Cardio_peak_freq_24hr,71,101.4645455
72,Cardio_peak_freq_24hr,72,107.5199612
73,Cardio_peak_freq_24hr,73,103.9109335
74,Cardio_peak_freq_24hr,74,105.8244448
75,Cardio_peak_freq_24hr,75,97.05620291
76,Cardio_peak_freq_24hr,76,98.26728605
77,Cardio_peak_freq_24hr,77,101.6340972
78,Cardio_peak_freq_24hr,78,106.4784297
79,Cardio_peak_freq_24hr,79,99.98702411
80,Cardio_peak_freq_24hr,80,100.5925657
81,Cardio_peak_freq_24hr,81,103.4507219
82,Cardio_peak_freq_24hr,82,105.3642333
83,Cardio_peak_freq_24hr,83,100.3745707
84,Cardio_peak_freq_24hr,84,106.2119915
85,Cardio_peak_freq_24hr,85,93.03679069
86,Cardio_peak_freq_24hr,86,91.17993487
87,Cardio_peak_freq_24hr,87,99.74364304
88,Cardio_peak_freq_24hr,88,100.1870713
89,Cardio_peak_freq_24hr,89,93.6742188
90,Cardio_peak_freq_24hr,90,103.2356405
91,Cardio_peak_freq_24hr,91,99.60507171
92,Cardio_peak_freq_24hr,92,103.5404975
93,Cardio_peak_freq_24hr,93,100.3810712
94,Cardio_peak_freq_24hr,94,94.36707545
95,Cardio_peak_freq_24hr,95,102.4042126
96,Cardio_peak_freq_24hr,96,97.24935911
97,Cardio_peak_freq_24hr,97,94.14536132
98,Cardio_peak_freq_24hr,98,98.66278667
99,Cardio_peak_freq_24hr,99,111.6053489
100,Cardio_peak_freq_24hr,100,104.2610684
101,Cardio_peak_freq_24hr,101,98.41335828
102,Cardio_peak_freq_24hr,102,100.9076422
103,Cardio_peak_freq_24hr,103,100.1039285
104,Cardio_peak_freq_24hr,104,104.538211
105,Cardio_peak_freq_24hr,105,102.348784
106,Cardio_peak_freq_24hr,106,92.56564817
107,Cardio_peak_freq_24hr,107,108.4459225
108,Cardio_peak_freq_24hr,108,107.559066
109,Cardio_peak_freq_24hr,109,97.16621631
110,Cardio_peak_freq_24hr,110,95.33707476
111,Cardio_peak_freq_24hr,111,102.2102127
112,Cardio_peak_freq_24hr,112,103.1247835
113,Cardio_peak_freq_90min,1,100.7774484
114,Cardio_peak_freq_90min,2,98.58493204
115,Cardio_peak_freq_90min,3,100.7252456
116,Cardio_peak_freq_90min,4,107.5377072
117,Cardio_peak_freq_90min,5,99.96830546
118,Cardio_peak_freq_90min,6,104.4838451
119,Cardio_peak_freq_90min,7,91.45925387
120,Cardio_peak_freq_90min,8,98.50662789
121,Cardio_peak_freq_90min,9,98.6632362
122,Cardio_peak_freq_90min,10,98.35001958
123,Cardio_peak_freq_90min,11,101.6387941
124,Cardio_peak_freq_90min,12,101.0384623
125,Cardio_peak_freq_90min,13,94.98294088
126,Cardio_peak_freq_90min,14,95.50496859
127,Cardio_peak_freq_90min,15,97.04495031
128,Cardio_peak_freq_90min,16,99.08085836
129,Cardio_peak_freq_90min,17,109.1559931
130,Cardio_peak_freq_90min,18,97.09715308
131,Cardio_peak_freq_90min,19,99.02865559
132,Cardio_peak_freq_90min,20,102.1347204
133,Cardio_peak_freq_90min,21,105.6845088
134,Cardio_peak_freq_90min,22,108.138039
135,Cardio_peak_freq_90min,23,100.5425359
136,Cardio_peak_freq_90min,24,101.221172
137,Cardio_peak_freq_90min,25,98.76764174
138,Cardio_peak_freq_90min,26,102.5262412
139,Cardio_peak_freq_90min,27,94.43481179
140,Cardio_peak_freq_90min,28,92.92093145
141,Cardio_peak_freq_90min,29,99.86756466
142,Cardio_peak_freq_90min,30,106.1746562
143,Cardio_peak_freq_90min,31,101.9276699
144,Cardio_peak_freq_90min,32,99.77248288
145,Cardio_peak_freq_90min,33,96.72986587
146,Cardio_peak_freq_90min,34,107.0620861
147,Cardio_peak_freq_90min,35,96.50800838
148,Cardio_peak_freq_90min,36,127.4095874
149,Cardio_peak_freq_90min,37,99.64570717
150,Cardio_peak_freq_90min,38,98.18778652
151,Cardio_peak_freq_90min,39,98.44133794
152,Cardio_peak_freq_90min,40,105.1604505
153,Cardio_peak_freq_90min,41,106.3014319
154,Cardio_peak_freq_90min,42,104.8435112
155,Cardio_peak_freq_90min,43,99.3287679
156,Cardio_peak_freq_90min,44,99.96264644
157,Cardio_peak_freq_90min,45,102.5615485
158,Cardio_peak_freq_90min,46,101.9276699
