Entity_id,Phenotype,Catapp_id,Chem_name,Dose_1000x,Dose_100x,Dose_10x,Dose_1x,pod_sd1
1,Cardio_peak_freq_24hr,1,016/kerosine,80.39324197,88.10290828,43.59899307,48.72167948,-0.102860092
2,Cardio_peak_freq_24hr,2,118/OLBO,95.59230444,89.57494407,36.79270582,72.36194831,-0.055030756
3,Cardio_peak_freq_24hr,3,1*2*4-Trimethylbenzene,99.19268205,150.2102908,81.09412711,100.8244994,2
4,Cardio_peak_freq_24hr,4,187(2)/OGO,97.23298284,116.3847875,40.20796028,113.9887757,-0.142020785
5,Cardio_peak_freq_24hr,5,043/kerosine,103.7729093,124.3713647,124.0149136,128.6773367,-1.351582776
6,Cardio_peak_freq_24hr,6,017/HFO,112.7282789,139.4675615,141.3091809,0,1.650406071
7,Cardio_peak_freq_24hr,7,Pentadecane,105.1629285,127.8478747,104.2015934,137.7953301,-1.026887219
8,Cardio_peak_freq_24hr,8,181/VHGO,113.6397669,133.3288591,111.0078807,156.9181736,-1.245125998
9,Cardio_peak_freq_24hr,9,151/OLBO,88.1636772,110.4653244,103.7656035,101.406499,2
10,Cardio_peak_freq_24hr,10,135/TDAE,101.3802533,132.5771812,138.0634781,0,1.569659521
11,Cardio_peak_freq_24hr,11,Benz(a)anthracene,80.25651877,89.70022371,107.8348429,128.2061941,1.053067321
12,Cardio_peak_freq_24hr,12,136/slackwax,83.83410918,94.17897092,94.75514494,96.39021686,-1.696670653
13,Cardio_peak_freq_24hr,13,006/HFO,78.09173476,89.91946309,102.4818554,0,1.457731955
14,Cardio_peak_freq_24hr,14,108/OLBO,82.28457958,90.70246085,90.05614235,123.0790549,1.761633313
15,Cardio_peak_freq_24hr,15,082/UATO,81.57817637,90.79642058,122.9976038,0,1.659639102
16,Cardio_peak_freq_24hr,16,104/kerosine,80.73504997,92.29977629,0,0,-0.02669107
17,Cardio_peak_freq_24hr,17,180/VHGO,76.72450275,93.36465324,87.92463603,0,0.810613035
18,Cardio_peak_freq_24hr,18,164/HFO,82.62638758,98.25055928,111.7829739,0,1.581420992
19,Cardio_peak_freq_24hr,19,Dibenzothiophene,77.93222436,92.14317673,86.13223298,99.9376429,-1.842857398
20,Cardio_peak_freq_24hr,20,191/BITUMEN,81.00849637,90.8590604,87.44020277,96.83364512,-1.822933502
21,Cardio_peak_freq_24hr,21,041/CGO,92.76669162,92.049217,102.9662886,111.2727777,1.622600398
22,Cardio_peak_freq_24hr,22,195/UDAE,103.1348677,120.7069351,0,0,0.488982512
23,Cardio_peak_freq_24hr,23,009/gasoline,91.49060842,115.6331096,107.035528,114.5984896,0.113698149
24,Cardio_peak_freq_24hr,24,119/OLBO,95.47836844,114.1297539,111.056324,119.2544862,-0.243359993
25,Cardio_peak_freq_24hr,25,184/VHGO,107.5100101,136.7427293,164.8768588,0,1.596150283
26,Cardio_peak_freq_24hr,26,060/OLBO,111.3610469,129.8210291,126.8004048,158.3038869,-1.34540208
27,Cardio_peak_freq_24hr,27,155/HFO,108.5582213,131.606264,131.9353974,134.9407608,-1.540256027
28,Cardio_peak_freq_24hr,28,128/kerosine,113.4802565,124.6219239,120.3816642,129.4533361,-1.571782748
29,Cardio_peak_freq_24hr,29,059/dieselfuel,100.2181061,108.3668904,108.0286162,111.5222061,0.020882718
